author,comment
Aryan shrivastava,You're awesome brother 👍 very helpful for beginners 🙏🙏
KOUSHIK S ECE3B,"you are the best sir, i love your way of teaching. no body can match you"
Anubhav Madhav,"I really love your style and way of teaching, bhaiya! 💖✨🙏💯"
YourBestie,"Bro we all need a video about ur education,passion..ur journey towards utube... And at last about ur secrets to learn coding like a boss"
Akshaykumar Parmar,Excellent way to teach API (generally Programming).
Victor Novorski,"API:
A interpreting link between 2 different companies/ community etc,."
suman pokhrel,"Can you make a short video for python project tutorial , that implements the concepts of API, it would really be helpful.,
And thank for the video, it was helpful."
Kumar H Patel,"i see 156 Dislikes..... how can anyone dislike such elementary level guidance. 
Super Harry !!!"
Pctech Computers,Hi can you provide 1-on-1 training for API development?
Mediation and Health,"Sir, I salute🙂 🧐u how could  do you  this fabulous explanation 🤩"
Harish Kumar,"great presentation, easy to understand for a not tech guy"
Karan Joshi,"Explain API in detail. Like how to integrate, Types, Programming with api,etc."
Gajendra Pal Kaushik,"See the video about API, don't just get carried away just with comments... 😂😂😂Okay ! I am getting too much likes 😂"
Isha C,"Haryyy YOU ARE DOING A GREAAATTTTTT JOB!!!

Totally loving your videos!!!!!!!!!
Please keep going!! Full support to your channel!!"
Rohit Raj,Aptly explained in simple words and with relevant examples.
Sahil Bhardwaj,Sir what about the integrity and consistency .. if someone selected the seat on paytm and again at the same time someone selected the same on Amazon ?
incessant toil,Sir please make more such..videos..practical things...(real knowledge) 😇
Anonymous 1,"Sir i am a college student doing ur java course. I have two questions.
1.) when will you complete this course?
2.) Is this course enough for interviews?"
Ashutosh Sagar,Like your work... This way of yours explaining in desi language is amazing and appreciable... continue this..
Karan Singh Solanki,"Loved this video, pehli baar API smjh aayi h thankyou so much Harry bhai... By the way I'm learning and enjoying your Python Lectures to do job in Django, pr kabhi kbhi sunne me aata h ki Django is not that popular in India, so if y want a career in Python, learn Data Science, AI, ML etc. Please tell me reality on this Harry sir, Thankyou so much, Love from Jodhpur, Rajasthan 😍😍♥️"
Eshank Awasthi,Superr simple explanation of a complicated topic..loved it !!
Easy Science,Thank you brother it was a doubt for me for a long time... Thank you very much 💗💗💗
Ammar Koka,Bro please make a series of projects with python 🔥👍💯
Hemant शिवलकर,Harry's Tech information is Onepiece
wasif,What is the difference between Web API vs REST API?
wasif,What is the difference between Web API vs REST API?
FRONTRU - Web Tutorials,"This channel should be rearward!
They post tutorial videos for free and without any advertisements! 😍😍😍😍"
Itu Mandal,Very well explained. After so many videos this is the till date best videos on API @CodeWithHarry
Vinayak Gupta,Most passionate teacher I have ever seen
Rigved Sanku,"Thanks for the explanation, you have a knack really fun and easy way to explain things!
Gg"
