author,comment
Rich L,I love this phone got it today as my second phone my main is a iphone 13 pro max and this samsung is great to me tbh
Ishmaam Sha-Riyad Imam,Waiting for the galaxy a73 review. Hopefully this is gonna be my next device after my Honor 8x
Donald Meyer,Amazing video! I am waiting for the a73 though. I love your tech videos on new phones. You are an inspiration to me.
shaheed Mustafa,Thanks for today's review can't wait for the in-depth review thanks again
Zep437,Bottom line: go w the A52 S. Thank you for the useful review!
KingKen04,I have the A52S and I think I’ll stick it with for now. The 53 seems decent but I think I’ll wait and upgrade to a z flip or something
sharkface,I would 100% choose an a52s over this (mainly because I'm watching on one lmao)
Mario Petrillo,"Nice video, i also went for the a52s for 290 EUR, perform very well. This new exynos 1280 needs serious optimization, compared to snap 778G the exynos is slower. A question if you can reply, where i can find the beautiful wallpapers you use in all your videos? Thanks"
The Everyday Driver,"While I love me some premium wired headphones, I really don't see much of a perk anymore. Wireless tech has come really far from when I last asked the question with my LGV20 in 2016. Sitting on a tran-atlantic flight isn't a hindrance with wireless these days"
ialeixo84,I'd still recommend the A52s over this one.
Fredrick Oywer,Surely they knew the headphone jack is a big deal for this A50 series. Hopefully they'll listen and bring it back for the A54
lifeisillusion,"Thanks for the information. Very helpful. Just got myself one, not because I want a new  but I broke the screen on my A70 BAD! since I have an additional SD card in my A70,is there a slot for this in A53?"
R P,"Hi really enjoy your vids, very down to earth. Can I ask a question, I’m new to android and have decided to migrate over from iOS. I have just purchased this phone, I  see there’s a general consensus that it’s not much of an upgrade from the a52, having never had that phone, will I still find it a good performing phone. Also coming from an iPhone XR. Cheers mate also not using it from gaming, just day to day activities"
TheLifetraveler1,"I sent back a Samsung Galaxy a52s, last week, when I heard you announce the Samsung Galaxy a53.  I've had the a53 for a few days and here is the good and the bad.  Yes, I miss having a headphone jack.  Surprisingly the geekbench 5 test show the processor in the a53 is actually slower than the processor in the a52s.  But faster than the Nord 10 phone that I had before.  Samsung needs to stick with Qualcomm processors.  Battery life also disappointing compared to the Moto g power up phones I had before which would easily class 3 days. On this a53 if I make it through the day it's just about right. I've actually reduced the refresh speed to 60 hertz, and that improves the battery.  Good thing, the screen is bright..  Even better when working on the T-Mobile 5G network this phone is achieving 300 MB download speed, compared to my Moto g5g, and nord 10 phones, only achieving about 50 megabits download speed."
Flávio da Silva,"I was thinking in the A53 but with the performance being lower than the A52, ill get a A52 instead."
lone wanderer,With this being a replacement for the A52 and not the A52-S i wonder if they will launch a A53-S later in the year.
FHF Masti,I Love the new one 
Aaron Law,Was debating this for my mum but perhaps get the 52s instead!
Mustafa Pop25,"So happy that stereo speakers made it to midrangers
Finally i can consider a midrange tbh"
磷酸Dream,"The exynos 1280 is weaker than the Snapdragon 778G, get the A52s if you can"
Jerry Obura,"Ah, the A 53, I regard the the 50s range of Samsung as the benchmark for a years basic technological must have and you spent your own money to bring us this review, man, you are a saint, thanks (£400 is not a small sum especially when you already have hundreds of phones beging for your sim) I wish I could send you a bottle of Ugandan brew but he'll it is what it is thanks though."
Matthew Koschara,"Thanks! My wife has the new Samsung S22 Ultra, but I'm thinking I'd like something different (And more affordable)."
Grace Levy,"This may be a silly question as I am really not tech savvy, but does the second sim slot literally mean I can put two sims in that I could swap between? I am planning on going travelling around a few different countries and it would be really helpful as I am going to be using sims bought over there and would like to keep hold of the ones I buy to use again in case I return! Or is it just for added memory/storage?"
Miracle Winchester,The camera bump slope looks so good
Dariusz Tech,Very disappointing and huge downgrade over the a52s. I did camera comparison and a52s did better than a53
NIJIL PC,വളരെ നല്ല അവതരണം .well explained.
Hossein Adib,"In the Samsung phone video, please show all quick setting toggles by tapping on the plus icon in the quick setting panel. thanks a lot."
Marinus,"Wait, focal pickup on the front camera? Do you mean it does have autofocus? Because the S21 FE doesn't even have focus on the front camera. That would be something."
Tsvetomir Stephanov,"Thanks for the review ... Going for ""Awesome Peach"" :) ... Have a great day ... Deffinetely helped in the ""family"" choice we've had here :) ..."
DJ - SUPA G,I'll opt for the A52s 5g instead all around better phone
Jack priddle,"I've just purchased a A53.. I placed a preorder for the  release date of the 1st but got it some 7 day before.. not sure why. 

It's a good phone for the price especially when samsung  are currently are offering enhanced trade in.. got £110 off for a cracked Huawei p20. "
Ben Chua,"just a question, does the a53 have wifi 6 capabilities?"
kevin jones,You’ll have to do a A52S 5g v A53 5g comparison. Is the 53 worth the extra beer  tokens over the A52S ? 
jason pierce,"I wouldn't bother with this handset in my opinion if you are in this price range I'd fully recommend the one plus Nord 2 5g 
I've really enjoyed this handset from day one and it feels like a much more expensive handset"
Viper Hadi,"Watching this video on my Samsung A52s...
I'm totally satisfied..."
Simply Clean,Whats better a53 or s22 ultra
Alaa Fadel,"I bought the A52s after watching your videos n reviews about it, I can say I have made the right decision."
Saeglopur89,"I have it already 2,5 week and it's perfect. Now just waiting for Ringke Onyx case :)"
RIP,"Can u test the ""Aralon forge and flame 3d"" in the next video ? :D"
ABDUL HAI 64,Beautiful display
Veritas Vincit,"Weak processor and no charger mean I won't be buying this device although it ticks all the remaining boxes for me. Currently on OP7 Pro. Not a gamer. Battery life/fast charging and multimedia experience matter more to me. Will get the Realme X7 Max instead. 4 years software update seemed too nice to pass on initially, but then it turns out I've only kept my previous devices for 2 years then change them, so what good do 4 Android updates do me? Taking out the charger for ""environmental reasons"" is just corporate speak for more profit which pissed me off even more. Thanks, but I'll get a device from a brand that doesn't take its customers for tools."
uarryyy,I'm skeptical for A53 with Snapdragon 695
Theodore Tekkers,Looks pretty cool.
Tony.33,"""who ever that invented this fun mode, I hate you with every single cells in my body""  I'm dead"
MegaMug,I love this phone. It replaced my Nokia 7.2.
I W Barr,"Would love a budget phone round up for GAMERS please.
Don't know if you have seen how many 'AAA' titles are coming to Mobile.
Warzone , Apex , R6S and many more."
Zaid benriane,do you know when will the a53s version come out ? and great video as always.
garreswe,"People shouldn't complain so much about the bloatware. I'm sure that helps reduce the phone price, similar to watching TV with ads. Also it's super easy to remove or hide the apps so you don't have to suffer if you don't like them."
Siraj_jr_,03:17 man I love how blunt this guy is.
Prince,I will wait for the Poco F4.
Craig Collins,At least you don't get the boring black if you buy it yourself 
Am check,Downgrade is the new upgrade
Matt Sanchez,Now if you could just put the Apple phone processor in this phone!  Also amazing what Samsung can build for $400 vs the shite  (Chris’s words) Apple builds for the same amount…and I’ll bet Apple makes ten times more profit
Tlielt Huddab,"WTH have you done with the background music? It's like a bunch of horny weasels are trying to escape the paper bag you put them in!

Otherwise a great first experience take (as per usual). Seems my hunch that the A52s was a much better buy (currently at €300). Just saying: ""Get one while you still can!"" (If you have the need, and the money of course...)"
ABDUL HAI 64,I will be waiting for your review full review
Monty Gill,I think the upcoming Poco F4 will blow this out of the water.
Joel M,"Thanks for the review , wireless charging?"
The_Arby,Nice Review Chris :-) Do you know when the A33 5G is coming out in UK mate ??
saqlain javed,Loved it
Training to be in the NBA,"thanks bro, been waiting for this"
George T,"Realme9proplus or Samsung a53 5g?
For photography"
Eddy,"Thank you for telling me not to buy the iphone SE , i was gonna buy it but now i overthinked it into buying the a53"
stewie griffin,What’s best 5g at 500$ range
EJ,I can only afford midrange phones. I would really like to buy a Samsung device but compare to Xiaomi I can get better specs and features for the same price.
3rd Street Menace⚜️,This will probably be my next phone after i upgrade from the 2021 Moto G power.
Conrad Bo,Good video and review
Cin,Midrange phone with no charger and headphone jack bugger off Samsung
ABDUL HAI 64,778 G A52s is much better than 1280
Hock Sing Ng,The problem with A53 - we can get the A52S for the same price...even slightly cheaper...
Peter Das,"Sir can you please make a unboxing for Realme 9 pro 5g
I know it's a month old but it's a request
Nobody has made a proper unboxing for it
I will be highly obliged if you do so "
RebelRedRollo,I have an A52 5G and am probably sticking with it until I can be arsed to switch to Pixel...
Sattar Khan,Wonderful
Jogie Glen Mait,It's a pass for me on this one.
Soto-Tek,The 4K video stabilization is pretty bad like on the A52 and A52 5G. Samsung Music is also a mess on mine.
Nakazul,The day i got my first Samsung phone in years! (A52s 5G) the 53 came on as new release and commercial. Bummed out how it seems the companies is just churning out new phones and my phone is now obsolete. I still got my beloves headphone jack that seems missing.... going to shut up and watch the video now 
k richards,I'm still  a  one  plus  fan and  I'm watching this  on my  one  plus  8
swift gamerz,it looks same like s52
sasuke,Nice videos bro thanks for the videos
ABDUL HAI 64,Good camera  results
HR Hanzala Rahman,
numberxx7,"Thank you great review! Had my giggling at 5:26.. this phone will ""keep my privates private..""  cheers!"
Monty Gill,The Blue colour is pretty Awesome 2:20 
Shaun Tee,A53 vs A52s comparison video?
DerSol,"0 upgrades from the A52s, just a crappy exynos and no headphone jack and no charger in the box of a budget phone, but who cares Samsung fans will buy it anyways."
Eric Braun,"Smartthings can do quite a bit more than Google Home, though the best workup is hooking up devices in smartthings and then hooking smartthings to Google Home."
ABDUL HAI 64,But sumsung should encloud charger in the box 
branko tomasović,I buy to my wife a53 and she is very happy with him. And that's the only thing that is important.
Nehal Akbor,"a52s 5g should be the go to choice, but the a53 5g is the one cheaper in my location which is what has be doubting on what to buy"
Alwyn Wyatt Cardona,have this phone what does the RAM plus feature do?
Mekideche Abderrahmene,A52s>>>
Alice,Which is better samsung galaxy A52s or A53
Joshua Baker,Dude just tell me where do u get these cool wallpapers  I love ur videos 
RIP,"i testet , i didn t feel the 120hz in settings menu and that lag/delay  when u change the cameras"
The Bearded Bobber,"It's ok Huawei P20 Pro, your not going away just yet . "
hellonoitisnt,"geekbench tests the CPU, you need to benchmark with 3dmark or something which tests the GPU"
RadioactiveX,This or Oppo Find X5 Lite?
Pespsi Jackson ●,"A52s is far better than A53, A73."
Yusuf Ibrahim,Any info about the A73?
Syahmi Sufian,"thnks for reviewing this, great video, so....just go with the a73 then i guess

but i will wait until the full review on that one"
Rayzorexe,Love the Kobo wallpaper at the beginning
Sattar Khan,Amazing
Mark B,A couple of years ago this would of been a flagship phone  but today it’s a mid tier phone. So what’s the point of buying today’s flagship phones?
E,3:12 i repeated this part 3 times hahaha
Kuri Cosmos,I still use Outlook xD I like it more than google's offerings.
ryanftw,"Honestly, this one is pretty disappointing from Samsung… I just got my mom a brand new A52S 5G, a case, screen protectors, and a super fast charger for a little bit less than the retail price for the A53. And the A53 isn’t even better. You lose performance, you lose the headphone Jack, and if I can remember right, you lose the micro sd card slot too… The A52S is faster too. It will probably handle future updates better than the A53. Honestly I don’t know who this phone is really for…"
Yusuf Ibrahim,Thanks for the videos
Sandeep Raut,Should upgrade A50 4G users to this phone..
Jericho Claveria,"Please review the samsung galaxy m52 5g, not the 'a' 52 the 'm' 52"
Augustine CS94,"No more hesitate, a52s 5g is my next replacement of my oppo a5 2020"
Sina,You're going to test Samsung Galaxy A33 5G right?!
よろ,good phone
sohail,"I'm tempted,  coz I'm on a budget , so I'm looking wots best budget phone out there . I'm currently using note 10+"
Oj simps,This or new nord 2 ce?
ABDUL HAI 64,I am big fan of your video on the youtube channel best reviewers
sinaneissi,Please review the A73
FanMadeMunkVideos,Guess i get the a52s cheers
Love You 3000 Productions,"Tech Spurt.....Help!!!
My brain is banging around like a set of donkey balls during a gallop.
I am due to upgrade this month and I am not sure where to go. A52s, S21Fe or A53. I am not necessarily a gamer but more for video making and photos. Your awesome reviews are great but any further pointers bang them this way "
A.Vedant Raj,This is what I want!
Abdullah_MUI,From where do you get these wallpapers
Prismarine Man CS,Awsome !
Paul Mcgeever,It's scandalous that samsung omit the charger. They don't even state it on their website. Just bought one and not even the retailer advised me i would need to buy a charger. Spoke with samsung and they denied it saying it is disclosed on their website and that their official retailers do make customers aware.  They did tell me that i must buy their own charger as using an aftermarket one even it meets their specs will void any warranty claim for a battery related issue. Buyer beware of using your existing charger  and shame on you samsung for extracting money out of me just to use the phone.
Allen Game,A52 5G re released without a charger and audio jack XD
김준수,The camera’s so oppo!
Popgrenade1230,Is s20 fe 5g better or the should I go for the A53?
makwikus,I've got the A52s. I'm good.
John Carl Monillo,No charger? No thanks! Hahaha
collapsar27,better get A33 if you really want the exynos 1280.
KIRITO Beats,"What is that wallpaper????
Where do you download it??"
Pebblesred Jackson,Hello everyone. I'm satisfied with my Samsung galaxy a53 5g phone. I highly recommend this phone over iPhone and Motorola.
JAVA Games Collection ☕,Samsung Galaxy A53 5G is .
ricks' kie,"I buy  samsung a52s 5g. 
why when I zoom the picture there is a lot of noise.?"
Jakub Adamski,"Hey, hey, hey! I am using Outlook  and happy with it "
Player 1,Watching this on my A52 haha
Haany,Your wallpapers ate awesome
Nero,"A52s 5g is sold out and this is the only one available, do you think its at least decent for what its worth"
Justin Qiu,are the a73s coming?
eRZé,"As 183 people have already mentioned, this phone is a downgrade in many ways and overall. Also worth noting that the charging cable is USB-C at BOTH ends so good luck trying to plug it in to an older charger you might have lying around."
Ελενη Ελενη,Samsung s53 5g or samsung s21 fe?
GHOST BUSTER-GR,No charger
AHMET Ismail,جميل جدا جدا انا املك جوال J2لكن حلمي في جوالs22
Vamsi Pabbineedi,"No 3.5 mm headphone jack , no phone case and no charger (that too only supports 25W !)."
Johanes Axel,No Charger adaptor 
Unknown,Samsung lost its market. Other companies offer much great phones
Free Steve,I rather iPhone se 2 or se 3 if I didn’t want it a headphone jack or no charger in the box I would just get a one plus 8 or a used s20 anything would be better than this
kiribetio123,This phone costs around $600 to $700 in NZ for crying out loud
Jayant Jibodh,Hey guys do you guys have problem with fast battery drainage on de galaxy A52s?
l e x.:•*°☆,…i still use outlook for my college email. 
Khairul Alam Rakin,Please Can Anyone Tell Me Ehat Kind of Wallpaper App He Using In Every Video.
Philip Osbourne,Ha first thing I do is get rid of as much of Google apps as I can !
Best One Office,watching it on a52s which is not less then a53...
enovasia,"Very obviously buy the A52s, avoid the A53. Simple. Samsung downgrades again using own rubbish chip, ditches charger, ditches headphone jack"
Ekebuisi Innocent,Finally
Paul Beard,One day one of the reviewer will tell you it can make a phone call if you put in a sym card 
Rebecca Meek,"Yes, I use outlook, mainly because my employer is stuck in the very distant past ️"
Mitch Murdock,No adapter? Good for the Environment? Lol it's complete bs. It's all about giving less to customers and receiving more for companys. All about cutting back. Everybody and everyone is.
All Size Makes The Wood Rise,Wallpaper link?
ADRI,1:04 dang im a simp of hololive indonesia and you put kobo's wallpaper already? this man is based 
sjstu,I do like Samsung phones but the duplicate apps are rather annoying. Having to stuff them away in a folder or hide them is rather crude.
Gamer404,"exynos will always be shit,i had my experience with it on galaxy s2,will never buy another smartphone with exynos chipset."
tomzicare,Is it normal for the phone to play a melody when calling someone?
Daniel dvir,update if you use the phone as one for work in a global company you use outlook
Truthseeker,It is really light.
HISUKA,I want wallpapers in the video
Izzy,Pls do a53 Vs iphone 13 Pro max
Qwqwtry,whats the name of that wallpaper?
Sattar Khan,Me  interested
Mad Mike,I still use Outlook as my main email address is Hotmail.
Jet Nerona,Meh. From SD to Exynos. What a downgrade
lige Collins,I just went out and got the Pixel 6 pro
vijay venkat,Pls provide ur awesome Anime wallpapers collection
unidentified,Disappointed that they don't seem to care about people who still use the 3.5mm headphone jack. Just get the A52s instead.
Doomy_Doomy,So do we not get these colors in the states? When I go on their website they only have the Awesome Black.
Xiaotian Zhang,"7:19 my two goddess, Gal Gadot and (not) Margot Robbie"
MrEazy,phone is laggy?
IreshZ Chamalka,2nd comment ️
Roger Oakwell,Did you seriously say who uses Outlook nowadays?!
costakis costi,I know it's early days but the a 53 seems like a downgrade.
POLΛRIS,I don’t get it its a midrange phone and people who buy it dont have the same needs as ones who buy flagships i mean removing the jack and charger is ridiculous.. plus this years version is literally a downgrade from the A52s.. Samsung is getting worse with each passing year
Simon,5:19 How can you spend your birthday by meeting Sue and then a car wash?
Lløne wølf,Can u help us get thse wallpaper
James Cassar,A Samsung mid ranger with no charger included and no headphone jack? Piss off Sammy.
Metatron Black,
Qamar Shehzad,Good
Jaded PeanutButter,Car wash at 1am? Sounds a great birthday
Raza Grg,Samsung phone are downgrade every year but makes big holes in our pocket like they removed charger & headphones even in mid range and budget range phones. 
Elhaam Hanbali,Hello 
ELVIR JARO,Kakav mu je mikrofon kad snima video
michael tingson,Overpriced and NO DUAL VIEW VIDEO 
chris cook,"£400 for this, when the POCO X4 is available!!?? Not a chance"
Ken Masters,I don't like small  phones plus i have to buy a charger nope thanks
DerSol,Scamsung.
M Burns,"""Bald Git""  lol"
AMIR HOSSEIN,Why Samsung is Private/Secret about the CPU of their midrangers? For Example in GSMArena Said octa core not naming the cpu
Tim Colville,No headphone jack no purchase
m,"Blah bla k50 pro 
Boy we are waiting for that"
wang dang sweet poon tang,no headphone jack bad performance and overpriced
Ragna Eyjadóttir,missed the chance to fun up your cat by putting a cat on the cat.
Kelvin Zoe,What’s your beef with TikTok? 
QwyN,Kobo Kanaeru on the wallpaper lezzgoooo
Paul Bowler,Good phone and unboxing.  Think I still prefer my Samsung a52 5G I got before Christmas as its not as chunky as this one  Not a fan of this trend by manufacturers not to include charger or headphones.  It's like selling a car without wheels.
James Young,OP don't buy it.
Alando Wahab,
Ryan N,You should give a Outlook another shot. Shits all over Gmail.
Jay Riley,That things a brick.
Kreiger Bailey,"Portland, JAMAICA in The Building !!!!!!!!!!!!!!!!!!!!!!!"
Kartikey Gupta,Sir you unbox a lots of smartphones/tab please can you please give me one of them with a smart watch because I need it for my online classes I can't take my online class please sir help me
Zviriko,Shenanigans
BIG MIK3,A52s 5g or A53 5g ???
akshay kumar,Exynos processors sucks
Only You,What? Kobo?
pi man,How much bloatware.
ABDUL HAI 64,Hahaha h
Peter John Gimang,"Hey I'm your loyal subscriber from Philippines and I don't have a decent phone :< My phone is so laggy, can't afford even midranger phones. And what can I say, I know this is one in a million chance, but I wanna ask if I could perhaps be blessed to be given a smartphone? :<"
Karina Calvero Phibrows Artist,Nope sorry samsung... jumping ship. Went for realme gt2 pro which is the same price as this nonsense... with way faster charger on the box. It's like you're not even trying anymore!
curry ninja,lol Kobo
Mickey goldmill,Arse end oooo I say
Tresor Berlin,
Text me on Telegram👉@Official_GregsGadgets,Hit me up..
It'smitch,Shitty laggy sloppy android buy se3 instead much more reliable and premium
Technical Rectifier,Please sir copyright claim remove please sir  next time not copy me Please remove copyright claimed
