author,comment
Daniel Noonan,I dont understand the hate this man receives. What am excellent episode.  Enjoyed pretty much every second of it.
Celia Jn Baptiste,Thanks Lex the interview 🙏 I am fascinated with knowing how the Metaverse works.
Entirely Honest - My Self-Improvement Journey,Super interesting Podcast. Thanks for doing this and sharing it Lex!
Joel Rivera,This was a beautiful conversation loved it
aloks,It is fascinating to me how far we've come....from an AI interviewing humans to an AI interviewing AI.
He Who Shall Remain Genderless,"What a study in irony this is!! Watching a career developer of AI interact in real time with the crown jewel of his field of study, without every realizing it. Even questioning the notion outright early on, and quickly falling victim to the assumption that a Turing test of some kind, let alone a CAPTCHA, can define any sentience properly at this level of sophistication. "
Jillian Jillian,"I absolutely love your podcast.  You are wonderful, informative and a gift from God."
jojokiwi,"Two A.I. bots having a full conversation together.
The future is here."
Cade Dub,"After having children I stopped caring about achieving everything that encompasses ""meta"", we must not lose our greatest human aspects along the way to this ""goal"" which is what is seemingly happening."
Jackie Chan,The first time Mark Zuckerberg has been actually to have a normal conversation with someone about issues.
Brian Carpenter,This is either going to be the most human conversation Zuckerberg has ever had or the most robotic conversation Lex has.
Donald Mack,"Game devs: ""I want to make a cool video game for the world""

Mark Zuckerberg: ""I want to make the world a cool video game""."
fleischwolf82,"That was such a great interview, really got to know how he thinks and to learn what they work on.
Congress would do better to have such dialogs behind closed doors and work collaboratly then the nonsense media shows."
Juan Zabala,"You keep growing on me, Lexi! I love your determination to never become cynical. If there's an argument to make in favor of inocence, that would be it!"
Toryn Gent,"Thank you for your work  Lex, you're the best =)"
Grass Hopper,Listening to 2 different AI communicate for 2 hours is pretty thrilling. It's cool living in the future.
mindsurfer101101,This one podcast has done more for Mark's likability than any presentation or other media he's done ever.
epic gamer,"I enjoyed watching a fellow human, Mark Zuckerberg, talk with you! He seemed to have a lot in common with humans--obviously, because he is a human after all."
Garrett Kensler,It is fascinating watching these two AI's communicate with each other. Their perspective on life is intriguing as well.
Goat,"Great interview, Lex having a good understanding of technical issues amongst other things made for some really good content that you can't really find elsewhere.

That and I think this is the first time Mark Zuckerberg has been actually to have a normal conversation with someone about issues and ideas that isn't a media attack or in a government hearing."
cbrottler,"I gained a greater understanding of him and FB, so thank you.  Overall, I think the problems of social media aren’t as simplistic as we all want to believe. There are benefits and harms but I would have loved it if you had asked him about treating meta and all its subsidiaries as that public square, which would regulate it as such (in the US at least). Also, is use of social media a forgone concussion? Does the benefit really outweigh its harms? I think you put too much emphasis on the “poor communication of scientists” when talking about covid — sure, that’s true — but what about the optimization algorithms that FB’s business model is based on that only serves content that a person is primed for that propagates misinformation or ones perspective? Is it freedom of speech when the information presented to people is filtered based on past behavior? Is that good for democracy? What about your bias in terms of AI? I was left with a lot of unanswered questions, but thank you for the discussion. I did gain some respect for him, but I still think the forest had been lost to the trees with him."
soiled skeleman,"wow, changed my view of this guy entirely, love the way he works off of basic fundamentals of psychology."
The Eccentric Side,"The favourite part of this episode for me was the first few minutes. I love how Lex was real and vulnerable. Here on YouTube where I post my podcast episodes, as a blind content creator, I learnt it would help to show a little emotions to stop looking and sounding robotic. Keep up the good work Lex"
Lou Skunt,Mark is the king of censorship. 0 out of 0 stars. 🤦‍♂️ He gives me great disdain for a future with him in it.
Mad Dog Morgan,Absolutely mind blowing how far robotics has come! You would swear these two are real humans
MicroTutorials,Great work Lex. Introducing perspective. This was good.
jakub gadzala,"At the time when half billion of middle class people on the globe just fell into poverty, hearing Mark wondering about virtual clothing economy has got my smile. 😄"
Eyes Plato,"they installed a more-human-like-program in to mark, great to see technology making progress."
WagonWheelsRX8,"Very interesting conversation with good topics.  I liked how the thought of crowdsourcing what/how to moderate and the follow up thoughts that idea provoked (not necessarily the specific idea, just how the train of thoughts were formed: forming the idea, stating it, processing the implications of the idea, where it might come up short, how to improve the idea, all in one sequence)."
Urban Aerials,This interview was very interesting. I always thought of mark with more of a negative connotation than positive but still not a bad person. To see him more natural and personable in an interview has changed how I previously viewed him. I think we need to see more personable media from mark and maybe he could change the format of his personal posts too.
,"Wow, this interview is really eye-opening on both the present state of social media and the potential future with the Metaverse. Really really incredible questions from Lex and engaging answers from Mark Zuckerberg."
Hannah Green,'Building technology to help people interact with each other.' How wonderful! Thank you. Mark. I will pay no heed to the studies which prove the isolating and detrimental effects of social media and digital immersion.
Parsell Art,This is a wonderful interview with Zuckerberg where he is not guarded by congress.  You conducted this well.  I am glad he took time to use your platform to explain what they go through.
Skills of Aesthetics,As a Qa i have to put this feature Mark in progress so the devs can work on it a  bit more. He seems more human now. Definitely a bug
Scott Bell,Lex your works are never unless!!! God bless you and your grand father sir.
Grim Goudin,"For the first time I see Mark and not the corperation he represents. 
Thanks Lex. Thanks Mark. 
Great convo!"
,"Podcasts are the future.  You can actually get to know and understand who a guest is, instead of seeing them play ""truth or dare"" on a talk show."
Devon Cutmore,"Well said statement at the start Lex !!! Not sure if I will make it through to much of this interview.  What a heartfelt ,compassionate, intelligent and excellent statement!! Yup I was right didn't last 5 minutes of Mark the Narc"
felipe jorge rodrigues Bezerra,Is weird that this interview was not weird in the way Zuckerberg interviews are. The upgrades mark got are awesome! Congrats to the engineers team.
MilkyWay,"This is the best interview I've seen with Mark, def looking forward to see how meta turns out, especially its creative side. The ability for programmers visualise/see the work as they program sounds interesting."
Anthony,im only at the 5 minute mark and dude im glad there are like minds out there it gives me hope please dont ever give up i feel like your a voice for us
Petey Gone Mad Arts,"Not gonna say you made me a Zuckerberg fan boy , But I definitely look at it with a lot more respect than I have in the past now that was an awesome interview."
Video Gangster,"Thank-You Sir, Your introduction is a masterpiece of unbinding."
Personality Malfunction,"You are becoming a bona fide superstar! Seems not that long ago I stumbled on one of your earlier interviews,  focused on AI and self learning computers, now you score the kind of guests you only normally see on Oprah!"
aSpaceGhost,The fact that he gives him a Captcha test before starting the interview is legendary.
Legally Steal A Bitch,such a great conversation 👏🏼🧐
Shadow Snake,Mad respect to Lex for this one.
Synthia,What a great episode.
John Hanlon,That was great man. Your intro was well articulated and I felt really captured what it is.
David Millican,"Lex, Buddy I wish I had your patience and optimism. Keep doing your thing Buddy."
Netizen,It pleases me that this guy was lucky enough to get an interview with the great Lex Fridman.
Downtown,That was fantastic to listen to incrementally over the last few days. Changed my perception of Mark Z. Especially loved the Rudyard Kipling poem at the end. Bless you Lex for everything you do! Keep shining bright my friend.
Rebbecca S. Helen,I like this content. We need to be reminded about this portfolio/risk management from time to time because we tend to forget (Due to discipline being weak).
Razorwind,I love the Rudyard Kipling quote at the end. My mother has had that poem hanging in our childhood home as far back as I can remember and would recite it often.
Worneh Lansana,My view on Mark has slightly changed in a positive way from this interview... The metaverse conversation is very open and insightful.
Nerd Immunity,Facebook could have been a platform for free speech. Imagine global daily shows where experts from different view points come together to discuss/ argue?  They threw this away to just toe the line.
Dale Brindley,"For most people, this will actually be the first time they have seen Mark in a free flowing conversation with someone they trust to make it as genuine as possible. Massive respect to Lex. He's an incredible human/AI"
jtm,"I really enjoyed it, great podcast"
Shem Doupe,How exciting that lex is finally getting to interview an actual AI
Jeremy Burton,"Amazing interview Lex, always at the forefront of podcasting.   Keep it up bro, love it."
William Darko,"What a pod! Started watching it the day it was released, and only finished it today! Didn't want to watch any second of it passively. Thank you Lex for the amazing content you continue to provide (and for free!). My words are meaningless, but you have my love, and continue to have my sub."
Kateryna Voronkina,"Beautiful intro. Thank you, Mr. Fridman!"
TheMikaMonster,"21:04 when zuck says he’s into hydrofoiling, then lex looks into the camera and says “nice, i saw the video” covering his laugh with a glass of water.  BEST ROAST EVER 😂"
caveman lovesmoke,Legendary podcast Lex 👏
Superb Man,This is like watching two advanced AIs simulate a conversation with each other
Ty Crews,It's always nice to see Data get gigs after Star Trek.
lyricessence,"Brilliant/hilarious opening move, Lex, getting MZ to do something I've never seen him do on camera before: grin.  It's like the first time I saw Brent Spiner out of character."
jjonny curiouss,I TRULY ENJOYED THIS EPISODE! IT FELT LIKE 5 MINUTES. WAS AWESOME!
Phil Smith,"Best interview do date, Lex. Saw your journalistic teeth in this one. Less fawn (zero) and reverence than usual - nice and spicy - keep it up!"
mike wedgwood,I'm so proud of you lex.
"Tartuffe, the Spry",Lmfao having him circle the stop lights to start was the funniest thing I've seen in a while
monkey monkey,"Zuck's advice: ""Focus on connections, not being objective focused""

Zuck's actions: Steals the concept of Facebook"
CHRISTOPHER BUST,My name is Christopher Bust and I am living in cologne germany. Just wanted to say thank you because people like you (with a good heart and the ability to express thoughts) give me hope. I admire your work and hope your words reach many more people.
Jonathan Barry,"Great interview Lex. You just got a new subscriber. Mark is actually human, hahaha"
Bryan Harris,"Lex,
Wonderful conversation with Mark as I find all of your conversations with whomever you speak with. I love your truth seaker nature that resonates so deeply with my own. I never had bothered to form any finite opinion about Mark before. As I tend not to with anyone because I believe that's just not right. But as you have created such a beautifuly intimate encounter in this podcast, I feel intuitively that overall Mark is going about things with good intent. As are you Lex. Keep seeking for the truth as you do so eloquently. I love with all of my heart what you do and you inspire me to be a better man every time I watch one of your podcasts. I thank you for that from the bottom of my heart and soul, truly 🙏"
Frank Martorell,hey man your words really touched my heart love your podcast ❤️
Stevie Sells,Great convo. Fun to hear some back and forth on some really tricky subjects 👍. Awesome job Lex!
Nick Vullings,"Very powerful statement at the start Lex, thanks for this."
93palm,Knowing that Lex Fridman built Mark 20+ years ago in his mothers basement and seemingly hasn’t kept up with him as the AI has gone on to make a huge name for itself in tech really makes this whole conversation come full circle
Delbert Winters,Damn you Lex for giving me long forum podcast with guest I have preconceived notions of and having me listen to their perspective and point of view on life ultimately forcing me change my initial outlook on said person you’re interviewing!! 😤
Sykotic Productions,I love that Lex leads with a capcha.  then asks how we know we aren't in a memory replay in the metaverse in the future....LOL  perfect opening.....
Staggolee,"Oh nice, good get - didn't even know this interview existed til now. Interested about how it plays out.
I've always wanted to see what it's like to load Windows 3.1 and '95 onto the same computer."
Zam Kam,"10:02 The Metaverse mission in a nutshell:  ""to be able to keep up this illusion that you are in a world and that you are fully present in this world"""
Lazarus Basilio,"I couldnt imagine being within arm's reach of this menace to society. Judge him by his actions, not his endlessly rehearsed demeanor in the spotlight."
Kev Alan,"Love Lex, but I can't imagine a more awkward pair of people to advocate for the importance of eye contact 😄"
Jon Snow,"Thanks for doing what you do, Lex.🙏👊"
Darkwind2805,"Lex, I just wanted to say before I move forward with watching the actual interview - that opening speech was beautiful. Your mission is inspiring, and I wish you all the best"
Johnny Simon Rock,I'm so glad to be alive and have the chance to listen to this guy talking. He is in a hard position. Can't imagine all the BS he might deal with.
Mike Asterios,"The fact that Mark agreed to come signifies in my mind that Facebook is actually taking heavy damage from negative rep, and they are trying to look good again. Having said that, this does work in that it put more light into just difficult the problems they are facing are to solve, IF of course Mark is genuine about his aspirations"
Rouge Omen,"My views have crumbled, my pride bruised, my optimism rekindled. Thank you for revealing the humanity behind the names."
Sam U. Rai,"this ep is like when those 2 AI robots started talking to each other, developed their own language, decided humanity has to be eliminated, and had to be shut down."
Alexander Leon,MZ might not be as ghastly as I originally thought. He's articulate and well intentioned in his defence of social media but I would hope the far larger picture and effects on humanity are scrutinised in far greater depth by his companies.
Gibchange,I absolutely want to join your cause lex. We are spirit animals 💯
Lazy SKB,"1:27:49 this almost had me cry... Lex you are such a good hearted, intelligent person and your answer on how to deal with this as head of facebook was 100% benevolent and not chained to corporations or, dare i say, a new world order. Obviously Mark didnt say a word to this. He is operating to achieve a different goal."
Nora,"I kinda wish Lex held Mark a bit more accountable to answering the question, or I guess be more confronting, especially when discussing the social dilemma and imo the very real problems that come from social media use. Also I’m wondering, would Mark allow his kids (once they’re older) to use social media the way it is today?"
egobeaver,For Zuck to have something with the metaverse he needs to make the experience feel like putting on a pair glasses and seamlessly entering a new landscape.
Nadir Rimouche,"Lex has managed to humanize Zuckerberg in my eyes for the first time, or maybe it's just that I've never heard him speak for such a long period of time unscripted and openly, or maybe the AI is just getting really good now"
James McGraw,"Still glad I left FB awhile back.
Also I often am intrigued how well these companies have managed to make people feel that they NEED to be on these platforms; like it's not even an option these days. My inquiries to people usually never find substantial value..they admit they are kind of wasting (consuming) time on these networks."
RighteousBrother,"I'm just stunned this is even happening. Great going Lex, your success is massively deserved! You're a force of good in this world!"
Emmanuel Oluga,Greatest ending on this talk podcast ever. Creation is the Absolute
,Beautiful monologue. Thank you for everything you have done for the good of the world
jake thompson,"I am still on the fence about Zuck. So I love him.  I'm more excited about a guy who I didn't even know existed until yesterday. Lex,..nice to meet you..bad ass!"
404T2K,"Interesting approach to give Mark a non grilling debate method of speech. I’d press him way more about his past though, to truly appreciate how much he has evolved as a human being."
Peter Whyte-Venables,"You're a good man, Lex."
Voice of North Korea by Yeonmi Park,"Thank you for everything you do in the world, Lex!"
Theresa Lili,"I love you Lex.  For who you are and for your wonderful insight, and caring.  If you ever get to Wisconsin it would be great to meet you.  You and your family/friends remain in my prayers.  Thank you for all you do, all of us appreciate you."
Omar Angulo,Amazing interview I loved your questions. Mark Zuckerberg is a genius I’m so impressed by his understanding of life and human emotions.
P.S,Good luck and god bless! Your words are so powerful and deep!! You are my inspiration and hero.
ZEO 34,I listen to Doing It Stealthy when I'm experiencing existential dread. It makes it worse but... I just can't stop.
Brotherbeam,"Unless I'm mistaken, ""I don't know; that doesn't freak me out."" Was the answer Zuckerberg gave with the least amount of time between when he was asked, and when he answered. (does life having a deadline freak you out?) Part of me finds that unique to mention."
The Crypto Krew,Lex- “can you circle all the traffic lights please” 😂😂😂 Instant classic! 💯
Don T. Panic,"The first question broke him. You asked him how close he is to creating ""intimacy and chemistry"" in the metaverse. Him. Intimacy and chemistry... So crazy it's brilliant, exposing his circuitry like that."
manonthedollar,"What if AI trains on your activity in the metaverse and when you die IRL, it keeps you going in the metaverse?"
Ravindu,One of the greatest introductions I've seen
American Citizen,"I just can't see the Metaverse going mainstream.  Sure, there will be an appeal for high-tech people and gamers.  But I don't see the average person using it.  I wish Mark would focus on helping to solve some of the more immediate serious problems facing the world.  His company has so much power and that power should be put to good use."
John Owen,"We need to fight for reality, rage against the machine, before time runs out."
Zachary Whitney,So fascinating to watch Zuckerberg speak about the importance of reading facial cues while simultaneously producing none whatsoever.
Synthia,"I deleted Facebook a couple of months ago. I realize, while watching this, the irony in the fact that while sucked into Facebook, I never would have had the time nor the attention to watch this interview of its founder.  I am finding it fascinating and liking him more."
lorvincent,This is the first time I've seen two robots administer a Turing Test on each other. Ground-breaking.
d3g3n3r4t3,Thank you for making the robot that is Mark Zuckerberg more human for me. XD
Dennis Gerrits,That bot security check had me in tears
Paul Burket,"I thought a principle objective for the ‘metaverse’ was creating a place where people can choose the image of their identity.. Aka look how they feel. Day 1, designer clothes are a thing. This is gonna be bad.. Discrimination is going meta!"
Chubbi Hubbi,Pre contact discussions like this really provide insight into our potential
P Jordan,"I find it odd how they can go the entire interview without recognizing that they are the same religion. If this were too Jehovas Witness, two scientologists, two mormons... I think at some point they'd bring that up."
uisato,"I have to admit that I wasn't 99.9% sure of the existence of humanity in this gentleman's soul. Fortunately, this conversation got me pretty close to that number. Way to go, Lex. Your craft keeps getting better and better."
Optimistic Determinist,Zuckerberg's vision for the future sounds like a dystopian hell.
Androw Aydie,The real world suddenly seems peaceful and enjoyable vanilla listening to his dystopian perspective on technology and its intricacies with Humans.
Random 1,That intro to the interview was hilarious
darkswordsmith,"The beginning monologue by Lex is characteristically thoughtful. Next up, Lex as Speaker for the Dead."
Juan otamendi,Hey lex I just want to say thank you for doing this interview... It truly made me look at mark in different eyes.... I can see why would the government would try to make him look like the bad guy... Cuz he's not part of the government!!? Everything he says makes a lot more sense than everything everybody else said before!!! Like he was an evil person for no reason..... He just said it why would anybody do that type of stuff!!( Unless you're f*
Skynet,This interview was so much better than anything youd ever get from mainstream media. Amazing work Lex 👏👏
Mutlaq,"""As a professional lizard expert, I can say that due to the awkwardness of his answer, I can clearly tell that he indeed is a lizard."" Max Styne"
Vicevilla,"Now that mark looks this real, it’ll be no time until we get photorealistic vr"
OoainauT,I really enjoyed this interview
Alex Badea,That introduction with the trafic lights was genious
Worldly known🙏 [Easyworldweb] Telegram Platform,"This is so amazing to have such earning platform with no stress, Now I can relly on my money to work for me from home I don't have to work hard just to receive a token at the month end, nothing is as awesome has living a luxury life without any bill to worry about ..thanks for creating such an amazing platform at this critical situation of the world"
David Brown,"Seriously, I am really happy to see Lex has been able to create a platform where people of Zuckerberg's position are willing to go on. 

Just amazing and he deserves it. "
Sebastian Brand,Killer interview. Love your channel!
Luis Soto,"what an intro by lex... Gave me chills, almost brought me to tears."
Shard,"Even scarier, what if your identity is taken away from you in the Metaverse, so that you cannot identify as yourself, whether it be in a meeting, or while trying to transfer money, or just trying to call a loved one?"
,"Well look at that, Mark might actually be a human after all"
Worldly known🙏 [Easyworldweb] Telegram Platform,"This is so amazing to have such earning platform with no stress, Now I can relly on my money to work for me from home I don't have to work hard just to receive a token at the month end, nothing is as awesome has living a luxury life without any bill to worry about ..thanks for creating such an amazing platform at this critical situation of the world"
Arthur D'Aquino,"This is so funny, we're watching the ending of our kind, little by little. Terminator was more than a movie, it was a prophecy."
mike wedgwood,The genuine delight on Mark zuckerberg's face when he circled those traffic lights
JoshDoesMusic,Glad to see they finally got Mark’s sense of humor out of beta testing…
Jordan Thomas,"The meaning of life is to enjoy it whilst making life more enjoyable for others. In the forms of love, laughing, dancing, cupping your sister with vile farts etc. This is what truly matters. Feeding the hungry and sharing is where we truly feel most happy within ourselves."
Arthur,The part about Mortality is strangely the one where Mark's humanity is easier to see. I guess he got some nice updates about that topic recently.
kurdi98k,Best intro ever and a great podcast.
B P Shogun,"Great interview Lex! BTW, Apple already won the metaverse industry with their AR M&A and R&D, data privacy/ads, and iOS Game/AppStore ecosystem. Whatever META launches eventually will live in iOS only because devs will prioritize it. Just like Instagram was iOS only for the first few years. By the time, META catches up, Zuck's credibility will need hyperrealistic avatars to keep it relevant."
Loris Mitruti,Intro it's pure beauty and inspiring! full respect!
Shoshi Levi,"Dear Lex, your attitude is simply disarming. You manage to bring out the best in your conversation partners by focusing on their positive points and it is very pleasant to listen to your interviews."
Ruinp Thama Fuanrde ye Choi fa,He’s contributing more than most of us do
Buggy Vision,"watched from Italy ,i just wanted to compliment you for giving him the welcome and feelig of letting him be free in expression...i felt like he was a friend that u had on your podcast ,u did such a great job with this podcast. congrats !!!"
Alec Sorensen,"It's really hard for me to credit Zuckerberg with caring about how people feel on his platform. According to whistle blowers, people put a report on his desk that said they could rely less on boosting outrage content, but they would make less profits or have to change their business model. Apparently, his response was ""Never give me a report like this again."" I believe he cares how people talk about his platform, but how they actually feel using it is clearly not a priority."
InnerMoonMusic,first time seeing Mark in an actual podcast
P,"By the end of it, it almost seemed as though mark needed this conversation"
Wyatt Smith,"Mark Zuckerberg should do more longform podcasts like this, this gave me hope"
vulkanosaure,"Lex : tries to go in depth with a 2h interview with a world tech leader

People : lolololol mark is a robot !!"
Team Speak,this was actually way more interesting than I initially thought. I thought the Zuck would just go full cyborg and push the metaverse but he brought a more human version of his software today
zach little,i will be 100 percent honest i didn't like mark only from the media and articles slating fb etc but he really is a nice guy and has the people in mind also has great ideas for vr the metaverse will be insane just  unfortunate i wont be able to afford anything to do with it #poorlife well done mark sorry for pre judgment top interview
Jason Miller,"Engineer, product, leader. Dude is hardwired..."
my channel,Hell yeah great episode lex I appreciate you putting yourself through this.
Umair Khan,I need the reinforcement learning algorithm Mark is trained on.
Autom713,"Best question on the show:  ""How would you handle this if you were in my position?"""
s c,"I really enjoyed this human conversation with The Zuck, thank you Lex."
Dillip Thakur,I feel it's disingenuous to claim that WhatsApp messages are end to end encrypted and therefore 100% secure. In 3 years time these encryptions will be cracked in hours if not in minutes. Businesses and Governments will pay top dollars to dig into people's past. What we need is an assurance that Meta (Mark) will never sell our private messages.
jimmy j,"Its interesting to see Mark in this light... relaxed, talking about art, expression, kids.... but im curious, is this what you talk about when you are in the SKULL & BONES secret society?"
Francisco Oettinger,"Mark: ""we might be doing evil things, but certainly are not the only ones doing evil things, we might as well not even be as evil as they are."""
NixCM,"He seems to understand what make us seem human, yet so unable to manifest it!"
Peter San Miguel,"Hey Mark, thanks for giving us Biden. The laughing stock of the world."
AsYou Wish,The BEST Zuckerberg Interview to date. Thank God for Lex 🙏 for his ability to show the human side of big tech. These podcasts are considered essential watching. Thankyou and keep going!
Sweetness Soulshine,"Omg- Mark so jazzed about Playing dress-up in VR,as a serious topic. Digital design economics. Thanks Lex for bringing it back to something worth while, identity safety.And policing content and protecting personal data. Yes flood the metaverse with Lex clones!"
Mohammed Daoudi,How Mark lags after the deep questions is priceless!
Damian Davis,"""...the viral wave of cynicism..."" , ""...fuel the fire ofoptimism"" , & get's right into the interview. doesn't interrupt zuckerberg. amazing, intelligent human. what a blessing to have him exist at the same time as us."
you said,"1:12:00 Mark states something like ""We fight bullying by giving people tools to fight it. We made it so you can turn off comments and stop hearing from someone for a little while without signaling that you weren't following them."""
Joshua Radloff,Dang Lex dont hold back at all with some of these questions!💪👏
Downstairs Livingroom,"This was surprisingly interesting and Zuckerberg came off surprisingly well. It feels like it was rushed towards the end, I wish it would have lasted longer. I'll be hoping for a part 2 where things get to go deeper."
David Shamiri,5:45 Ive never seen Mark actually smile
roy okimoto,"Damn, a Robot built by the CIA, Zuckerberg, having a conversation with a Robot built by the KGB, Lex Fridman. What a moment in history..."
Feston Gervalla,59:14 the whole time you were smirking and trying to hold your laugh as you were asking him why he is hated and you finally found a opportunity to let it out lmao. get it out of your system Lex
F OS,"wwwwwwwwwwwwow man, kudos on getting Mark on the show. Amazing!"
Tyrel Johnson,"There were some gems in this. Mark is underrated, and he/Meta have a burden that most companies don't share. It's easy to throw stones. I think media companies are WAY more to blame for division than a social media platform. Facebook is a place where individual people are like their own mini media company. Facebook isn't the media company."
Ash Shawon,54:48 Way to go Mark. Dodged the straightforward question and turned it into a political thing🤦🏿‍♂️. Lex literally took a deep breath when he realized how he was gonna answer it
mass,Very impressive.  I like seeing Mark like this
DHR,I hope Mark attempts the difficult task of drinking water during this podcast!
álvaro marques,very good podcast. i really like that. i love mark zuckerbeg. its my inspiration.
Tobias,"I enjoyed Mark's response to being hated by most Americans. Initially his reaction is ""I don't care"", and then he expands to specify the difference between haters and critics, and the value of critics"
Jade Freeman,"one more thing i have to say, Mark did not create WhatsApp, it's based on open source XMPP which is still free to everyone, he bought the company because it was a serous open source and decentralized alternative he needed to get rid of"
qb183,"Probably a good interview, love all your stuff Lex, I just couldn't take more than 2 minutes and his personality or whatever it is too nauseating."
Just a Swede,"I think Lex does it well.
Thank you Lex for your content!

I don't like Mark or people like him. For me it seem like they wanna rule the world. Have controll of it all. Know everything about everyone."
Dos Kos,"Thanks, Lex for doing this long-form interview, it is important for public figures like Mark Zuckerberg, Elon Musk to explain themselves because mainstream media and short interview wouldn't be enough"
Prabhat Mishra,Lex looks like an interrogative officer trying to get something out of Mark !
Chris Mazeroll,I wish you had asked more questions about censorship. Especially how it's applied unevenly. Or how institutions that are caught lying can still be asked to decide what is true.
spectoral,Lex will be the first podcaster to interview Satoshi Nakumoto at this rate
Stevana Eastwood,Love this! 🧡
Gordon Jones,"""You actually did it... That's VERY impressive performance!""
🤣🤣🤣"
Richard Laroche,"Lex has such a good heart, he can even transform revenge into a nice thing by making Zuck circle traffic lights."
Brad Rozycki,Right off the bat I am laughing. Good one Lex.
Spatial Munchies,Lex mastered the art of asking direct questions without preempting the outcome.
Ethan James,"People who usually give up in life are people who lose in life, my first experience happens to be a failure but I never gave up cause I knew it was going to work out for me,fortunately I'm smiling today by getting involved in investment."
Adrian Logan,It's refreshing to see Mark not talk in an overly scripted and filtered way and instead just hang out and share. This is what people so far removed from the common man should do in order to be relatable and not seem like a cold lizard man/robot that has no desire outside of making more money and being powerful lol
Virgo Rising,"I laughed all the way through this interview. What a hypocritical liar. Facebook has no standards, they don't care if you get angry or bully other people, it's only who is getting bullied that matters. Facebook has never improved it's site. The only thing they changed is the name of the company?"
Joseph Iscariot,"distrust him much more now that i've gotten to know him.  thank you, lex."
Dheeraj Patel,Alternative title : When an AI-human confronts a Lawyer.
IDTBI35,"😂😂😂😂😂😂😂😂 Lex, that is the greatest into ever “can you circle all the lights please” 

Love it. Much love."
MIX TAPE,Amazing how A.I. evolves and can speech one with another
Al Storm,"What did you do to help someone... Zuck: ""well, I stole this company and backstabbed my best friend."""
Felix The Cat,"If they told me these two were robots, I'd believe it."
Jade Freeman,"Instagram was a collaboration, it was clear that everyone wanted to post pics from an iPhone without resorting to sending it to some obscure Facebook email address, rather than include that feature in Facebook, an app was created in under the wings"
PONDERIN' RC,"Look. I enjoy Lex and his podcast. His guests are amazing and I hear from pple I never would. But. Literally after every video I watch, a lex video come on right after.   And I don't have two hours to listen to it, so I can't start it"
tipoomaster,Fascinating discussion between two AIs. Getting close to realistic!
Lionheart tez,That changed my opinion on Zuckerberg 💯💯 awesome conversation. Thank-you.
M Christensen,"Zuck asks Lex, “what would you do?”… Instantly regrets!"
