author,comment
The Spirit of the Cosmos,"Thank you Nick watching now Brother! I always say haters, trolls, and mean people just need a hug . I shine love unto them with Spiritual practice and it pops their balloon rather quickly.   ️ ️"
Real Appeal Gaming Entertainment,I haven’t had this problem yet but I appreciate your words of wisdom Nick! Good PSA for mature content creators.
Heidi Stevenson,Thank you for creating this video! I received my first hate comment and googled what I could do and your video came up! Definitely great advice to not give them what they want in a response.
Jason Bonnicksen,"Thank you for your advice. I received my first hater critique last night. I almost want to celebrate. As a former pastor (and dealing with the bleacher critics a lot), I COMPLETELY agree with you. I'm really digging your content, and you're helping me ""reframe"" my channel and my growth mentality."
Ted Mattos,"You're a good man, Mr. Nimmin - reminding us that even the negative people out there are people who are dealing with struggles of their own and that engaging in them doesn't help them. I hope someday I'll be big enough to even GET negative comments! LOL - Thanks again for the useful advice!"
Phienixx,"I’ve noticed these trolls have no content on their own channel. Zero! They don’t have the balls to put themselves out there. It’s easier for you them to hide behind a computer or device and judge other people. Just like in real life, real life haters hate you because they hate themselves in some way. They need to do some deep inner work."
SHOUKATH ALI,"Stay Positive.
Spread Positivity.
Learn, Earn & Grow Positively."
,"Great advice! Thank you Nick! I've followed all your tips since the creation of my channel and they were all very helpful. In the last 28 days I got monetized and all of a sudden my channel grew from 2K to over 20K in less than 28 days, which is GREAT but also came with a bunch of trolls and I was looking for the best way to deal with that and you helped me once again. THANK YOU"
,Great video Nick! Very informative and entertaining man!
A Horror Writer Plays,Thanks Nick. We're working to grow from a small place and already having this happen. This video was super helpful from a lot of different angles.
Still October,I got my first extremely negative hater who literally everyday writes a new rude comment on allll my videos and I tried to ask him why he felt the need to hate me so much. He never responds to me but I’m so thankful for your words. I need to not take it personally. It’s hard but I have to learn. Thank you this made me feel better about the situation️️️
N,Hey Nick! Hope you're doing well. I recently started getting plenty of dislikes on my videos and I started wondering maybe I said something in a video that made some people hate me. Do you think it's as deep as that or is it just shallow hate? Sorry for asking a confusing question like this but I'm getting depressed because I didn't get dislikes on EVERY video before.
Dandelion Plaza,"Hi Nick! Thank you for making this video, seeing hate comments towards the videos I make just ruins my motivation to even make videos, so thank you Nick for this tips :)"
Armitshu Games,"Every time I got some problem with my channel, I always go back here to hear some tips. Worth it as stress reliever. Tried to ignore them but it is so tempting to reply to those toxic comments."
Blue kid,Thank you for helping me because I usually call my haters stupid but you’re helping me get rid of my haters because once I expose the hate comments people start leaving even more negative comments thank you
,Great video Nick. Is definitely hard to walk away from some of the negative comments. I find almost every time I engage I end up regretting it. Thanks Nick.
Rebollion Station,"I believe that negative comments are also important and some of them have great value when it comes to improvements. But I also agree that many people simply want to take it unnecessarily far and rather just hitting the 'dislike' button also feel it is cool to give you a few words of hate. Why taking the effort to write down ""Oh it was crap"" rather than describe why was it crap?"
Robert McGill,"I appreciate you making this video, Nick. Unfortunately in this technology world we live in, it's easy for people to be cowards. I dealt with trolls before and how I deal with them is not to reply back to any negative comments they say. That's why they make the block button."
Print On Demand - RJ Martinez,Great video Nick! Thank you for making this. I was literally thinking about this for 2020..Everyone that is negative and has something mean to say is getting blocked.
Lori Blye DIY,"Absolutely perfect share, Nick!  I learned the 'Art of Ignoring' years ago ~ it's amazing, if you don't give them any fuel, they eventually move on! This video was so needed ~ I clicked on it as soon as I saw the title!! Have an awesome day, friend!!"
Shizuko Rose KTK,"My sis once told me, ""no matter what you do, theres always someone that hates you."" 

Didnt understand it until I reached 10yrs and it got clearer using the net.. :V"
Hoosierback Outdoors,Nick’s parenting advice 101. LOVE IT!! 
nararabbit1,"People who are deeply unhappy take it out on others. Even though it might get to me a little bit, having compassion for their misery makes it easier to let it go. I don’t have to encourage them with attention but I can only imagine it’d make them more enraged to get pity than a mad response."
Hal’s Guitar Adventures,"I love your perspective on this negative part of social media.
Very healthy, and inspirational. Thank you for good tips"
,Great video and excellent advice! As a Retired NYPD Detective I have said this same exact thing for the past year! Thanks for all you do!  
Midpack Mania,"Appreciate this video, for every 5 positive comments, you get 1 hater that tries to knock you off your center. Sometimes just need to hear someone else explain this, thanks Nick!"
Michael Gabuya,"Why do I love this guy?  <3 , he help and inspires me always. he always upload helpful videos , thanks bro .Do you guys feel what I feel?  :))"
Writers Room,"This video helped me a lot. Outside of this anonymous channel, I secretly have a pretty big following on instagram and a pretty mean comment kind of got to me tonight. Watching this seriously helped. Thank you Nick."
MISSed Bandwagon,"When I first got started on my channel, when I had less 10 subscribers, someone went went through ALL my videos and thumbs down’d them. I have no idea why!? I wish creator studio told you who does these things so I could report them. "
Jared MN,"Respond to constructive criticism because they might say something you can learn

Don't respond to trolls because they will end up wasting your time"
Unearthing Stories,"Here to spread some love: love your channel and your content, you do a fantastic job and have a great on-camera personality. Best wishes to you, your channel and all who watch!"
aajustjay,"Thanks Nick.  This actually came at a good time.  It's relevant to something that's happened with my other channel.  I appreciate your tips as always.  Great content, consistently awesome!"
BroadbandLink Gaming,It's like you know my struggles. Great video nick. Also love your troll skits 
Jon Stallings,Thanks Nick for the info. Will be launching my channel soon so I can implement this from the start. I also liked how you also showed some compassion for the trolls.
TevoTV,So important!  When is started with my comedy music videos people looked at me like i was crazy cause i was working a 9-5.  Until a fortune 500 company took one of my videos and made it an ad and bought the song lol!!!  Keep pushing everyone your dreams are within reach just stay consistent.
Hedge witch tarot,"This is such a needed video.  We work so hard on our channels. And when we do get those ""comments""  it does bring down the vibe lol. After a while we just get more thick skinned and realise it has nothing even to do with you. These people are deeply unhappy within themselves.  I send them peace and love and put them in the ""hide box"" lol"
Astro,Thanks for this video Nick! As someone who is getting a few viewers finally some of them are unpleasant and this is quite helpful :)
TYREESE “TJ” JOYNER,"I dealt with trollers and haters throughout 2019. I kept blocking trollers and haters along with adding blocked words. Great tips, Nick."
Tomas Arzeno,"Appreciate this video! Got a bit discouraged after receiving some negative comments but realized this only means my videos are getting out there more, no use feeding that negativity"
Rennthusiast,This is brilliant!  Loving the work you do man! 
AJ's Green Topics,I was laughing when you trolled your brother's channel. Great information Nick. 
Jose SG,"I´m doing my Phd in cyberbullying and this is very good advice, thanks Nick, love your content"
Blue Eyed Tech,This is honestly my favorite video. After dealing with toxic people in my comments I will watch this video to feel better. Thanks Nick 
420 Scene,"Yeah, sometimes haters get to me and I trash back at them and hide them from channel. Hard to just ignore but I’m getting too tired of responding to the bs comments."
DamD젠장Vlog,I love this video! Just started dealing with my first haters yesterday LOL. This video is everything. Thanks for this!
Mayank Singhal,Thank you Nick  for inspiring new creators  !!!
ZZ9 Productions,"Step 1: Delete the comments
Step 2: Block the user
Step 3: GG"
BLUDSHOTiZ,Thanks man! It can definitely ruin your day when you have 5 people watching and 1 is a troll. I know to accept they're just trolling or dont like my content but damn I'm too invested at this point to quit what I've started. 
Making It with Chef Cheri,"'This Dee Nimmin Guy,,, I'll show him""
I nearly fell off my bed laughing! "
*.* Robert G *.*,Hey Nick this is some good advice haters are every were. Most of the time it's because someone is doing something positive and they can't see anyone succeed. The key to dealing with any hater is not to engage at all sooner or later they will get tired and go away. Have a great day Nick
UltimateMoralizer,"In general, when it comes to rude people on YouTube, they usually resort to childish insults and shaming tactics because they have no arguments. I’ve noticed that anybody can get attacked for doing anything. Just ignore these type of people. Don’t feed them."
Miranda Detailing,Such awesome advice Nick!  Love you channel so much I have learned so much to help our little channel!
True Crime Detective,"Thanks Nick, I needed this today after waking up to several horrible comments about me personally. I wouldn't wish it on anyone, but equally, it's comforting to know I'm not the only one. My content matter is controversial which gets the conversation going, but it can draw in people from some very dark corners too."
RobbiiChan,"Well Nick it’s like you read my mind right before you make a video  I’ve actually been off of YouTube for a few days because haters have been getting to me, I’ve actually been hoping to see someone posts about how to deal with haters, normally I don’t get a lot but it’s been bad lately to the point it made me feel like not even posting, but I have been blocking them and I got over it and I’m actually posting a new video In like 30 minutes because I learned how to deal with it, this video taught me that I’m doing the better thing and showed me that I’m more mature than haters, thanks nick! Just thought I’d let you know I’m doing great on YouTube and I’m fully confident that I’m gonna make it on this platform thanks to your advice! Thanks again "
Passive Income Tom,I haven't had many trolls but sure they're out there.  Thanks Nick! 
Beach Bling Books,"Thank you so much for this! I've been really nervous to upload because of trolls, etc, (I don't handle confrontation well) and this is a great way to look at it. Much appreciated!"
Lady Katie,"This is helpful! I unfortunately are super confrontational and am quick to jump and start tickity tapping on my keyboard back at them. I need to stop and remind myself they nothing I say will sway them and that giving them attention won’t lead to anything positive. One thing an angry internet stranger said to me was “I am under no obligation to respect you”. That one made my blood boil because without respect where would we be? If someone refuses to respect you, and you’ve continued to be respectful throughout the whole ordeal, you won. Respect is among the most valuable things a person can have"
Vaz Survival,Thanks for the info. I had to recently deal with an “unpleasant” viewer with unnecessary negative comments after i busted my ass alone in the wilderness for 2 days. Im all about the classic saying “If you have nothing nice to say don’t say anything.”
Pikadoriya,Hey Nick I just wanna say thank you man for the big help if it wasn’t for you. I don’t think I would upload another video again.I’ve been dealing with haters for the past week and it really distraught me.I felt really uneasy Of myself At the points I didn’t want to upload another video And just move on in life. But after watching your video you really encouraged me and you made me get back up and fight and I just want to thank you.and I hope you have a bright future for your channel 
Tainted Mantis,"I do have a question about hate and harassment policies. Have you dealt with people who seem to wish cyber bullying on you and how do you handle it, aside from simply just reporting and hiding users from channel?"
Souls Journey,"Even on my tiny channel I've had to hide someone who kept coming back just to argue about something. Good way to look at it. Gonna check out that app, too, Thanks!"
Craving Crochet,Thanks Nick love the way you put this video together️
FM Language,"Awesome job, Nick! Keep up the good work!"
WithMyHandsAndHeart RachaelT,Yes! Negative people hate themselves... thanks for the tips! ♡
Rattail,"This was so helpful. We just got our first ""unpleasant"" comment - ahh! We're trying to build a super positive community so this threw me off a bit - again, thanks for the grounding in how to approach this!"
SLOSH,"If you don't have any haters, then you are probably doing something wrong 

-some unknown guy"
elise妍,"i’ve got a hater and they made me more motivated to improve but, it’s also sad :/"
Blissfully Random,"I really enjoy your content and the style you present the information. Thank you for helping out other creators, especially the small ones. :)"
Joe's Firewood Videos II,Ok.  I thought “hide” meant that I couldn’t see the comments?   Good to know.
The Miniature's Paintbrush,"Thank you so much for that advice, you are a pillar of the community!  Keep on being awesome."
Tiffany Chanell,1st time I've heard a big content creator make a video on how to handle this type of situation. Thanks for being real and sharing tips on how to handle situations like these.
Life With Lani,"As a former (x2) failed politician, I know what it is like to deal with haters. It was very difficult for me not to respond to the haters on my website/Facebook/Twitter account at first but as time went on I learned to grow a tough hide and ignore them. All they wanted to do was create problems and,  as you said, focus the attention on them and away from the issues. After dealing with politics, YouTube will be a snap. Thanks for the advice."
Mean's Woodshop,"Good advice, man. I’ve been lucky enough to evade haters (at least really nasty ones) so far, but it is something I worry about as my channel moves forward. In addition to not engaging with negative comments, I also think lashing back at a hater is representative of your channel too, so potential subscribers might not wanna scroll through and see content creators replying with equally nasty stuff."
Arena Hacks,"Incredible advice, I love the psychology at the end."
Ozzstar's Cars,I just filmed a vid on how to hide nose hairs when filming.  Should be going viral any day now. haha  Good info there Nick!
Tildi's CookBook,That one was sooooooo useful!!! Good to know... THANK YOU Nick!
Loco_Mobius PRIME,My main problem is finding a community of people who support content creation in the same way I do.
Shrimpy McGee,"I feel like there is too much onus on us as creators to moderate everything. I'm not sure what the solution is, other than maybe asking someone else to moderate your comments and weed out the nasty ones. I have a small channel, not even 3K, and the rudeness and sometimes even abuse that I'm getting daily is just so out of proportion with the content itself (hair) and my audience size. Hiding the comments feels like I have to swallow their poison because I still have to see it. Maybe I should figure out a barter with another small creator to moderate each other's comments or something! Anyway, thanks for this video Nick. Another good one!"
"Grit, Grind, Gold",Just wanted to say thanks man for consistently and consnsantly uploading kick-ass content.
Christopher Harle 1of2,"Most welcome advice, Nick Nimmin. I feel stronger already. Thanks."
SlickSawick,I always ignore them and when I see them I just do the hide user button so if they ever come back I don't have to worry about it! =)
,"Excellent advice and information, sir.  I've had a barrage of trolls, mockery, and hateful comments on some of my videos and it's become a bit of a chore to moderate them.  I don't want to disable comments because that isn't fair to everyone else (and it's also perceived as fragility) but I don't want to give negative and abusive people a platform on my channel.  Some say ""have thicker skin"" and ""accept criticism"" and those are fair points indeed.  If negative comments have a constructive element, sometimes they're worth keeping around.  YouTube provides some excellent tools for moderating comments but it can still be a lot of work to manually curate them."
VNfatBIKER Studio,Appreciated this tutorial so much Nick! I got those crazy bashers/haters/trolls hahaha....Thank you so much again Nick!
Loco_Mobius PRIME,"I love haters, it’s just weird when they call my friends trolls and don’t give actual advice on how to improve lol. “We don’t want you here” ok but why?"
Randy Schartiger,"great stuff Nick thank you for it! I have a few that follow me to the ends of the earth, did everything you said and thank them for their view count lol rock on mang!"
Hamacon,"Thank you for this one, too️ I must be getting popular to have got my first haters  thanks to your advice, they can comment whatever they like but no-one will see them anymore and they don’t even know that "
Tripods Garage,"People block, even if offer positive“non-trolling” advice.  I have a video of my commute to work on crutches, really cannot believe how many dislikes I have for it."
Paulo Lopez,I loved this video. Honestly this is the best way to go about it. (Also loved the extra bits you put in like the trolling Dee part )
OFF THEGRILL,Good one..️Alchemy
Michelle Smith Creations,Thanks Nick! You are great I am so glad I found your channel. You give great advice.
Andrew Warner,"Gone are the day of if you have nothing nice to say, say nothing at all. Sad that trolls exist. Awesome video to combat them, Nick."
trend rocksby,"I'm starting up my own channel and i know i will probably come across some haters at some point as im putting myself out there, i needed to hear this, it can't be easy reading such negative things."
Evelyn Dar,"Thank you, Nick! I needed this today"
Kiffy Shimmy,"Hey man, thanks for changing my perspective of hatersyou made my day"
Fuze Antatic,"If they (haters) don't get anything from you, they would just walk away, EZ :P 

Well, that's my way ^_^
Or just deleate that comment "
Blade Master Ra,Brian fooled me dude. great advice nick haters have really bothered me lately you have help me rise above their game.
TaLes Of The DoXie,I had a good laugh with this.  Great way to approach this topic.
Random Familia,"Hey Nick, I've really enjoyed listening to your content over the past few months, I am wondering if you would have time to check out my most recent video and give me some truthful feedback on it. If not that's fine. Enjoyed your video once again. Have a great day"
Jethro and Patrena,"Thanks for the advice, we really appreciate it."
SinGames,Great Advise bro! Haters are only after attention. As soon as you cut that line the haters will stop.
,Dee Nimmin ... never liked that guy. MOBILE ... BLA BLA BLA
Maryam Faresh,Thanks for this! as always so helpful and supportive :)
Team Stew,Thanks! As a new content creator we didn't have to deal with this till recently and... well... this video helped me in my own head.
For the Love of Gaming,"Thanks for the tips, I had my first hater comment and this video gives me some good perspective on how to handle it."
Go GLUTEN For Weight Loss,That was helpful. Some are really vindictive . Thanks for your tips Nick
April G Mckinley,Thank you  for this. I needed to hear this thank again for all your help like always
Htop Skills,Hide user from channel is the one I use to remove haters from my comments section
Awesome Lps Tv!!,"This helps me so much! Thank you I have a mean comment on my channel a second ago and it got me discouraged  it's says that I shouldn't be filming anymore, filming is my passion and if he or she can't accept it then he/she could get a life, I don't care about what everyone says about me, I'll do me who gives him or her the right to do that?! Anyway Thank you so much! "
,"Hahaha I thought I got the highest amount of likely spam comment (32k) but you got 60k plus haha,, I review held for review comments, I found out that some of those comments are valid"
Naomi Blacky's Diversity Channel,"Hey Nick, Thanks so much for reminding us this one. Oh I need to keep track of my Channel using the features you are talking about . You explained this really well about the trolls, nice share "
Dennis Bloodnok Channel,"Nick,

Many thanks for this video. Much appreciated. Very useful ideas / information for the likes of small YouTube creators such as myself."
Croissant,I always try to take the positive or constructive message from hate or sarcastic comments. But this can sometimes backfire :(
B AM1,"thanks for the advice--really needed this to deal with, and put a comment addressed to me in perspective."
Brough Built,Hey Nick. Thanks for the advice! Do you block many haters and trolls on your channel? It's my worst fear to have people hate on my efforts. Thanks again for your cool vids.
Mustie1,so pinning  their comment to the top and feeding them to the wolves is not a good idea l reckon.
Jonah Bennett,Great information Nick! 
Suzy Valentin Realtor,Excellent Advice Nick! Trolls and Haters are Losers. I don't give any of them my time or energy.
Mohsin Abro,"Hey My best teacher ️
U r doing a great job
keep it up"
Rupee Monk,"You are awesome Nick - your strategies are helping me immensely
Thanks from India <3"
Krishiv’s World,"One epic thing about your channel is that your voice is always very clear, and simple to understand. No one can ever miss a thing you say!"
Chris Mizo,"I honestly just laugh anymore Nick, you can't take them serious at all. Trolls are just got nothing to do but improve the algorithm  so no mater what you win"
FL FISHING CHANNEL,"Awesome video as always, i learned something new today, i normally dont get much hate but from time to time there is one idiot that has nothing better to do, i used to just deleted the comment from now on i will hide it from the channel thank you Nick "
Queen Habeeba,I get hate comments... Unfortunately I do react because I can't stand people like that. But the best thing to do is just ignore them and block em.
Nanto The Enigma,"Hello Everyone! When it comes to haters, ask yourself this question: ""Do haters pay my bills?"" No? Keep creating content, and keep being awesome."
Najhiah Hall,I really need to learn and hear from you because I find myself in the million and one arguments on YouTube over something stupid you know if I see something rude or mean I'll usually comment on it and people will go back and forth with me and I'll go back and forth with them and it'll turn into a full-blown argument that actually happened to me today. The crazy thing is I always get into an argument with people over something rude or mean that they have said and people end up telling me I'm the a*
A Perfectly Imperfect Family,"Haven’t had haters yet, but being a large family channel, I’m sure I will very soon! Thanks for the tips, because I had no idea you could do those things! I’ll definitely be using them!"
NateSavage,"Got you suggested from a fellow content creator , love the videos. Very informative.  Love it my guy. Appreciate what you do for us small channels"
Mehreena Ahmad,Also sometimes you may misinterpret something as an insult so u have to wait before you respond if u do. I do it a lot but its written language how do know what someone really means! 
CASUAL FRAGRANCES,"Great video idea and tips nick, this stuff great for YouTube content creators"
ZOILA EN UK,"Thanks Nick, this is really helpful."
Infinity Bucket,Thanks. You're right. I've gotten hate comments already but now I know it's not an attack on me. They're just jealous of me.
34 Thirty Four,"The lines are blurred when they said they just stated their ""opinions"" when it's just plain rude and hateful for no reason at all. I think most of these just feel attacked and lack the emotional intelligence to look at the dirt on their faces. I always watch feel good videos because I have chronic depression so when I scroll down to see the comments on those videos, on one of the positive comments, there is always these replies who are very negative. They just usually badger the replies section to force feed the others with their so called ""opinions"". Makes me lose hope with this world really. Strange thing was I always find them hidden in the replies of some positive comment."
O000O000O000,"So true, thanks for sharing this I had no idea you could block user comments from your channel - I haven't had this trouble on youtube yet, but on other social media platforms I get a lot of it - but you are totally right, thanks for sharing!"
Stanley Orchard,"I tell you what this is something that I am actually having a bit of a difficult time with. The comments on my channel are fine, but the comments that I get on Reddit from time to time have a tendency of really bothering me. And I am well aware of everything that you just said in this video, but i have the hardest time just letting it go on some of those comments. I feel the need to vent, or defend my position. I will literally wait a day or two to respond so that I can formulate a concise and levelheaded response. Of course that never goes anywhere. Sometimes I just don’t know how to just let it go."
"dr. kim sage, licensed psychologist",Nice mini therapy session advice Nick:) thank you!
LOCO NICOLE,Great video! Hope everyone reading this has an awesome day  never hate comments from me...positive vibes only
Ricky Chang,"I am new to internet and got hate from time to time and I am generally not good at dealing with hate since I am too sensitive

but thanks for the advice"
Hollow Haunts,"I got my first hate comment right now. This helps a lot, thanks Nick!"
DoodleMan149,"Hey Nick, I was wondering about something. Yesterday I looked into the Settings section of YouTube Studio and I found some things under Channel Settings. I found a section that looked almost like the tags section of a video when you upload one but all it had in there at first was ""Gaming,"" presumably because of my uploads. Any word on how those settings work or factor into views, subs, etc?"
Mermaid Alone,"I myself always see positiveness and beauty in everything and everyone! I think those who always see negativeness in everything they have problem! If I will be a youtuber I can accept logic critisicim of course as long as their intention is not reuining my selfcondidence, but not rudness and nonsense comments! Actually deading with these kind of people and the Rumors they may spread have been always my concern to not be a Youtuber! Thanks for the tips :)"
Geralynll,I spent hours crying because I was getting bullied by people on tiktok and a video making fun of me  for my teeth gap got 5 million views so I’m getting hella rude comments this video really helped me thank you 
James Macdonald,"Really helpful and compassionate video Nick,thank you.James The middle class Wrapper"
hypostein,"Lel luckily I found this video tonight and I just woke up with a few troll comments. I went to that channel, just to see whether that person was doing on the platform and she only made hate-videos and she only got dislikes and hate-comments back. Thanks to you I decided to hide her from the channel and not react on her videos. So great video! ️"
Bizantyjski Borsuk,Thanks Nick for an awesome advice 
Gardening with Susie TLC,Another awesome videoI love that feature just block them and forget itAnother great skit lol :)Thanks for sharing Nick:)
Drummergrrl Cass,This made me feel better  I got my first mean comment and it was bothering me lol
Megan Lee,"Honestly I needed this right now, I love making music, but whatever I post it on, all I get is hate!"
Mecha,"Since my channel has grew a lot more, hate comments are becoming so much more often lol, I usually just delete the comment.
Good thing I havent ran into someone continuesly trashing on my vids that I had to block them.
Thanks for the tips!"
Passion for food,"Never feed the trolls, they like it!"
Kawaii Flowers,thank you I’m starting to feel a bit bummed now. I already made an apology video if I did anything wrong and they keep giving negative comments
"Faith, Food and Fitness","Really great advise not only for Youtube, can use these tips in life too!"
Thomas Hughes,"Great video, Nick, thank you! "
Andy's Awesome Adventures,"Thankfully, I don't get a lot of negative comments on my channel but when I do, I do one of two things: if the negative comment is legit and it's presented in a respectful way, I'll leave the comment up. If the comment is negative and it's insulting, I will not only delete the comment but if it's really insulting, I'll just block them from my channel. Goodbye haters!"
Ventriloquist Vance,You're a cool dude. I appreciate you sharing this video. I need a video like this when I occasionally deal with haters.
DeterminedZone,Thanks for this great advice  and your wonderful attitude 
Esplat,"Yeah I have a hater rn, I’m just having fun chatting stuff with them.They’re so butthurt over a little thing on a different video and they decided to harass me."
CJenda,"Excellent video Nick, thanks! "
FarahDoddle,"I got some hates after awhile my first video blown up,honestly just delete the comments and blocked them,or report.
If in 400 comment u had 3 hates comment or just troll,u still had 397 nice and lovely people who like ur contents,its nice to thinking that "
Chasing America,Thanks for the tips! I’m sure I’ll need them at some point. Awesome video!
Daniel Kolbin,"Nick Nimmin, I subscribed!  
I appreciate your work and everything and I can see a good dedicated channel when I see one. You are definitely the top 3 best YouTube helping channels."
Pizzles Tech Time,I can tell you right now this videos going viral great job Nick
Auntie A's Kitchen,I was also cheering when You said Earn it! I now love you more! Sound advice
Eric's Vegan Van,Looking forward to the day I have enough traffic where I have to start dealing with haters and trolls!
Kimchi Robotics,"Ignore them to avoid complications especially with monetization issues with your channel.
Then use their negativity as topics for your videos LOL"
Kirky Plays,"I can say this. Sometimes it can pay off in a positive way to react to their comments. I had someone just recently that said my intro was ""too cringy"" to watch the rest of the video and I gave them a simple response of ""well my content isn't for everyone and I am okay with that."" I don't think they expected a response, (or a response like that) and they weren't long backtracking and apologizing for what they said. "
Crazy4Games,"I actually got a lot of hateful comments from someone on YouTube back in 2013 just because I made a playthrough of a video game which he didn't like and he repeatedly ordered me to stop making it. Needless to say, his demands fell on deaf ears. Believe it or not, that same person has recently emerged from his cave to give my latest videos the same treatment, nearly ten years later. Pathetic, huh? :D"
Doug's Dharma,"Yep, I don't have many trolls on my channel but over a decade administering an online forum led me to realize how wise it was to put into practice the old Internet adage: DON'T FEED THE TROLLS."
Secrets of Texas,Thanks for this video. I'm currently having growing pains on my channel and dealing with this issue.
Channel 11: INFJ,Hi! You're totally right!  I got a hater comment once. She said my voice is annoying and she hated how I talk in my videos. I didn't mind. I understand she has issues with her own self. 99% of my subscribers are men though. Men are a bit nicer to me for some reason. It'd be nice to have female support though- 'annoying' voice or not 
Zoe Bull Kennel,Thank you for the advice sir 
Rupert CB,"Thank you, super helpful.  Been struggling lately with comments on my main channel."
Javad Ant,"Even from a business point of view, we only need a small fraction of internet users as our customer/client/subscriber to become a successful business. So why don't we just block the haters at first sight and give our attention to our supporters. I'm willingly looking for most effective blocking tools for my upcoming startup in advance. PREVENTION IS BETTER THAN CURE"
