author,comment
Chrono,Yes Thanos. This trailer did put a smile on my face.
Jonah Hammond,"Literally no scene in cinema history can ever top the just sudden heartbeat stopping when thanos snapped his fingers. Looking back on it, it’s just another scene in the saga, but seeing it happen in theaters for the first time on opening night, that’s when everyone knew the next movie would be crazy (remember, at the time, endgame was called infinity war part 2) since everyone knew the story would be ending there, but didn’t except all the infinity stones to be together till the second movie. All people talked about after the movie was just excitement for the next one."
Kevin Sanghvi,"This is not just movie, it's an emotion."
DANEIL,You know these movies are so well developed when you still get chills watching the trailers and even tears
King of the Fall.,"“Evacuate the city, engage all defenses, and get this man a shield.“
From now on, this line will never be the same... Chadwick Boseman, gone too soon. RIP."
Fajar Divo Saputra,it's been 4 years after release this movie and i'm still rewatch
parthiban naveen,"It wasn't satisfied than watching movie than a trailer 😎 
Still it's in hype."
Ave ver the 4th,"I remember watching this over 30 times

I was so hyped"
Double Treble,"Who elso still gets so hyped watching this even though I've watched this movie countless times, watched breakdowns and Easter eggs explained, watched audience reactions, watched reviews, still I get so hyped like it's an upcoming movie😂"
MCMJ,It’s tradition to come back to this trailer every once in a while
ꃳꑀꁲꈜꋖ,Who else wishes to go back in time and experience it again for the 1st time?
4glorysake 1988,I come back here every once in a while to pay tribute to THE GREATEST TRAILER OF ALL TIME 💯🐐❤
Charles Coleman,Finally! A Marvel Avengers trailer that actually uses its own themes to promote it!
Shreyas S,"I think it’s safe to say this is one of the greatest MCU films ever

The hype will never live up"
Zualaye,I loved watching the last scene of this trailer in the actual movie
Trent Denzel,Still tear up with hype and joy after watching this after 4 years 😂😅
Brawler RedShift,"Rewatching a trailer after 4 years isn't something one considers when balancing their day, but this...does put a smile on my face."
wonwoochoco,"i love the fact that people are still coming back to this trailer, it's amazing"
Arturs Petkausks,Still one of the best trailers out there
Harshit Mota,"This was a tribute to the infinity saga!! Can't believe we've had Endgame, NWH and now Multiverse of Madness in 2 months🍟
No other franchise has been so promising to its audience like MCU. Grateful for everything!
P.S don't compare Infinity War / Endgame / NWH, These films have their own charm respective to their timelines🙌"
Pavan V,The hype is unmatchable for this movie.....this trailer still gives me goosebumps
Francesco Caudullo,I am still in hype for this film. Cant believe
Blue Milk,No movie trailer will ever live up to the hype that this one did
Daniel Timotio Soares,Um dos melhores filmes que eu já assisti.
Vonn C.,Do y’all remember the morning this trailer dropped those were the days
visible to all users on YouTube,Avengers theme is such a masterpiece or maybe it's the Avengers who made it the masterpiece .
𝘾𝙖𝙫𝙞𝙙,"4 years later, I look at this masterpiece, but it can't reach the endgame"
David C,Thanos walking in gives me chills to this day
menime,Imagine coming back to watch a trailer again of a movie you already seen that's how good it was
rick duggal,i love this movie is far more than endgame that pace of the movie is so freaking to the point its like god of all the blockbuster movies ever exist in terms of pacing.
RAB2IT,Even after 3 years it still gives me chills!
Joel Ortiz,I still get the chills watching the trailer
Ben McIntosh,Ok no way after almost 4 years every second of this trailer gives me goosebumps 😅
SiD Gamer,"kgf chapter 2 broked this record today, it gives vibes more than any other chills or goosebumps 😈"
Дия _ miii,It's been so long... but it's still beautiful ✨
Josh_Plays,"Avengers Infinity was so good, that i came back 4 years later to watch the Trailer..."
Danger2811,It’s hard to believe that this was 3 years ago. Time sure does fly by.
Hollister Freeman,Trailer honestly gives me chills everytime
Akram Potter,Watching after 4 year's😊 2022 ! But still gives me goosebumps😍😍
Grayson Gaming,Still gives me chills and still an amazing trailer it shows just enough and the chills it gives just perfect how every trailer should be
FLIMS ADDA,Infinity war Was such a legendary movie that people come to rewatch it's trailer  4 years after its release.
DC_Galaxy,Man the chills this movie gives............. Endgame was the ultimate satisfaction and emotional ride. But Infinity war just had such a sense of fear and danger and excitement that we never knew before.
Mahamed Hassan,A moment of silence for the future generations who didn't get to experience this one in a lifetime hype and theater experience
CyberTar,This gives more chills than the most recent mcu film
Elon Mask,"It's still giving me chills, like this is my first time seeing the trailer.

Edit
Rest In Paradise, Chadwick Boseman. Thank you for entertaining us with the Black Panther. "
susgod,4 years later and the trailer still hits hard
𝘾𝙖𝙫𝙞𝙙,"4 years later, I look at this masterpiece, but it can't reach the endgame"
Tempest,this shall forever be potraited as a masterpiece of a movie
Gaurav Khatri,"This was the first movie of my life that I saw in 3D! Man,It has been already 4 years .... It's fascinating how time flies so fast ! 😢❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️"
Drivq,Trailer still gives me goosebumps ❤
Rashad Moore,The Infinity Saga will always be one of cinema's greatest achievements to me.
Gabriel Dela Cruz,I don't know why Im still coming back just to watched  this trailer and it always gives me chill.
Dragon Ballz,The time I and my friends were discussing about this movie at school. Such a good time in my school life.
Katelyn Nightsparrow,4 years later and it still feels so epic.
Daegan Stoltzfus,I remember freaking out with my friends over those first shots of the Iron Spider suit. How far we’ve come in just 4 years.
Merwyn Rebello,Even after 4 years Avengers Theme gives me chills
Julius Kingsley,To think he was battling with cancer while filming this movie. Fighting for his life while entertaining us. What a strong man. A king. R.I.P. 🙏👑
snesl zorus,Ok this was way better than endgame. The hype was huge BC we didn't know what was gonna happen unlike endgame. Still gives me goosebumps
RetroRichie,Over 4 years later and nothing has been able to come up with 2 minutes and 24 seconds of Hype like this trailer does!
Vansh Srivastava,"I came after watching no way home and this gives me super nostalgia

Just to see every character alive. It was just so awesome"
Captain America,this trailer still gives me goosebumps after watching the movie for 1000+
Raditz,Years later this trailer still brings a tear to my eye man. So epic.
,10 YEARS in the wait for this moment
The Originals,After 5 years this trailer still gives me chills
ahimsyah russalman,Endgame was good but infinity war just hits diffrent
Richard Eversmann,"Wow, been 4 years now, I felt like yesterday wacthed it. Masterpiece
Rip Stan Lee"
Mike Ferrer,"""In time, you will know what it's like to lose. To feel so desperately that you're right but to fail, all the same""

Bros laid out the ending of the movie for us"
Luke Greenman,I think we can all agree that this is the most legendary trailer ever made I’m still watching it 4 years later !
Becca,Can you believe this was over four years ago? I still remember it like it was yesterday. Truly an unparalleled experience. The trailer still gets me even now
Renato Sousa,This is my favorite MCU movie!
Cedric Mariano,"These were the days, where all we had to worry was about spoilers...."
Indigo Dream,I remember watching it in theatre back in 2018 and not understand a single thing. Sigh. But now I have seen all MCU movies on Disney plus. Infinity wars is no doubt one of the greatest movies of all times.
vishnu menon,This is the best marvel movie till date and I will always love this movie.Even though end game is nostalgic and gives goosebumps this movie is miles above end game just because of the story build up for 10 years and Thanos having the perfect hero / villain character which was why he stole the show throughout the movie.This was the Thanos I expected to see in endgame as well but he was completely different Thanos from infinity war and that put me a little off but this movie is the heart of the avengers.
Stine EIN,"When marvel was simple. Ohh myy i miss the good old days.
Almost have been 4 years and this thing still gives me Goosebumps. I was literally 13 when this came out. I was so happy as a kid."
The Masters Mad Face,Most hyped for a movie I've ever been
The Nomadic Railfan,"I remember standing on line with two of my best friends on opening night to see this. Man, I would give anything to experience this movie and Endgame for the first time again."
Matthew Cummins,Is anyone else so grateful this and Endgame came out before Covid could stop us seeing it in Cinemas? It would've been absolute agony if these movies were delayed
Kar Mat,It is 2022 and it still gives me chills after 4 years
Aondongu Tivzenda (Reverend BlueBalls),One of the greatest movie trailers ever made.
Bhavya,"Haven't watched tralier till today ,But  watched movie like 4 or 5 times.
INFINITY WAR & ENDGAME are one of the greatest movies of all time."
Grayden7232,"I’ve watched the movie at least 3 times now, and it never fails to disappoint."
Anything Challenge,Coming back to this trailer in a certain times and always gives me hype and tears
AlphaCureMom,Who else can’t believe it’s been 2 years since this came out
Lordz21,Watching this trailer's masterpiece made cry a bit bcz this movie changed my life so much and its one of the movies u wont see after some years(and endgame).
TV Critics,"Me watching this trailer 3 years later: Some people move on, but not us."
Gokul 007,Kgf 2 teaser has comfortably beaten infinity war trailer records Salam rocky bhai 🔥🔥🔥🔥
sellena,IT STILL GIVES ME GOOSEBUMPS.
BEST free SEX dating site - 𝐃𝐀𝐓𝐗𝐗𝐗.𝐂𝐎𝐌,"I am here in 2022.

After 4 years, it still gives me chills."
Jaga Diish,"This trailer just give me goosebumps, till I have watched 40+ Times 🤗"
Dinesh Patel,Ahh yes i remember that feeling seeing that last scene in the trailer when everyone is running including hulk that made me hyped that time and the ending blew everyones mind i remeber that screams in the ending of the movie and yes the post credit with captain marvel too that blew people away like shes gonna be the strongest charcter in the mcu😁😁
Ernesto Herrera,4 years.... feels like it was yesterday!
snqobile ayanda,I am watching this trailer at 03:19 AM and it still gives me goosebumps.
Ali Abbass,I would sacrifice my life to watch this at premier day
Nicolas Seigfried,Honestly it’s hard to believe it’s already been almost 4 years since this film came out I was only a freshman in highschool when this film released in theaters
wony wowkz,"i remember coming home from school and watching this,THE HYPE WAS INTENSE AND ID DO ANYTHING!!! TO VISIT THAT FEELING AGAIN, by far one of the best trailers in history!!!"
Roopkishen K,"Most watched teaser/trailer in world 
Until 14th April 2022 - Avengers
Since 14th April 2022 - KGF🔥"
Ahad Hamza,Seeing this trailer after watching Endgame feels soo emotional.
BatChick,"The avengers saga are my comfort movies, always going back to rewatch them when I need a pick me up  💖"
Mohsen Akbarnia,The hype... Still watching the trailer...🔥🔥🔥
t y s,this and endgame are the greatest theater experiences of my life and i would do anything to go back …life was peaked when all we had to worry about was spoilers for this
Kishore Dinesh,make goosebumps every i am watching the Trailer ❣
Why So Serious,"Hey marvel KGF breaks infinity war trailer records 🔥
I'm very proud of KGF."
Ajin Jacob,It's almost like a tradition to come back to this trailer once every while.
EditSer,I still remember how those days were beautiful Everyone Were hyped and Just experiencing this masterpiece
Aabiah Waqas,"I am here in 2022.
After 4 years, it still gives me chills."
Uwu locket,4 years sense the best move released still get the chills and as thanos said this does put a smile on my face -thanos
IAN ODHIAMBO,There was an idea... Five years later this puts a smile on my face.
Aryan Persaud,Will Marvel ever attain this level of hype again???
Manoj shrouti,watching trailer after 2 years still it gives chills
Ej Ridenhour,I love the mcu so much 💯 the best comic book movie of all time
Drifter,"Stan Lee had an idea
To create a group of remarkable characters
To see if they could become something more
So when we needed them, they could fight the battles"
Fan de Marvel,"I saw this in the cinema, and even so, this trailer gives me emotion"
Sahaj Patel,"though endgame and no way home were legendary movies, but you gotta admit this is the best trailer ever made by Marvel"
Rishi Soni,"I have seen the movie almost 10 times,but this trailer excites me like I have never seen this movie before."
Demetrius Williams,"I will never forget walking into the theater so excited to see this, then leaving like they took something from me. Worse feeling but one of the best."
DannyJumbo,"2017: Cant wait for the movie

Now: Cant wait to feel something like this again"
Iamcrash55,"It's sad that it's over.
But it was the best experience ever.
Love marvel"
Buckethead,I remember watching Thanos about to snap for the first time in theaters and desperately trying to recall of every shot in the trailer to try and think of ways that Thor could stop him.
Salmanuddin Shaikh,"I'm watching this in mid of March 2022
Miss them so much
What a feeling to watch them all together ❤"
David A,Unpopular opinion: This is and always will be the best movie in MCU
Alifa Nur,the opening scene where all main characters showing up with badass soundtrack never failed to give me goosebhumps!
Reya Samnsi,This trailer still gives me chills running down my spine to this day... I don't watch it every single day(anymore) but when I do... it's hard to describe the feelings that this trailer makes me feel. I love it and it's the greatest trailer ever made in my opinion.
Luuk Mulder,I'll never forget the day I saw this trailer for the first time
Himanshu Das,After all this year I don't know why I'm still here and without seeing the trailor I repeat the Introduction before they even speak!!😙😙
Julia,Thor’s entrance in Wakanda was one of the most epic scenes in Marvel history
Naife (Diego),"Just epic, even years later."
pricilla,Never again will I feel what this movie made me feel.
ArdyKyronGaming,This one really Blow up!!! Those things that happens are all Epic and nobody can say no to Avengers: Infinity War...
Ezron Nelson,The trailer itself gives me the trills.
MUSIC HUB,Endgame was a epic but still Infinity war hits differently🔥🔥
Eklavya Kumar,"""Dread it. Run from it. Destiny still arrives."" 

This line is universal now."
Thadical,I remember times when this was really hyped.. Miss those days!!
Mia,After listening Marvl's opening music i feel like a proud Avenger idk y. Who agrees??🔥🔥
Luke,"Man, I want to go back to this time. It was my senior year of high school and the hype for this movie was through the roof...man how times have changed..."
AmrutNS Swain,Watching it with other MCU trailers after 4 year this one 😍🥳
Frank Scott,I still can't believe it's been 4 years just now watching the trailer again and it still gives me chills even though I already know the outcome. Glad to know that I'm not the only one.
W.T. blackard,"It’s weird to think that our kids won’t understand the hype for this movie and Endgame. They’ll have their own I’m sure, but they won’t know what it was like for these movies."
Kovai Club,I guess kgf 2 teaser will break this record in forth coming days 🔥
MT Academy,It's crazy how much power this trailer still holds.
Dope Dude,This has to be my favourite trailer. Talk about cinematography!
Black Phantom,Before the world ends i have to say that this is the best trailer of all the time.
Rainbow King_YT,When I heard the ‘ there was an idea to bring together a bunch of remarkable people’ I got chills
Rare Videos by Javier Vargas TV!,This movie was amazing and still is and forever will be...
Joseph Benítez,This is the best movie trailer of all time.
Nathan Leung,Anyone else fricking depressed now that this is all over?
Blood India,"Just now I have finished watching whole film for the 500th time. I don't know how many more times i will watch in future. But i have watched 720p,1080p,2160p, even theatre prints to witness audience reactions, in English,Hindi,telugu,Tamil , chineese, Spanish and Czech too. This movie really is Inevitable, Unprecedented.
Congratulate me!"
Priyansh Joshi,I can still feel the amount of anticipation we used to have 4 years ago....
Not mvp,Infinity war trailer record broken 🔥🔥🔥🔥🔥🔥
Colv,it has been 4 years since the trailer released and I still got goosebumps from it
trolliar,"Once in a while i comeback to these trailers to see how ultra hyped people were for this event. 



Absolutely once in a lifetime."
zt,Anyone else just wanna time travel back to where this trailer first came out just to see all the hype for it?
CESAR RYN,It's been 4 years and I still love this movie
JK,Thor's wakandan entry really gives every single fan goosebumps
Paul TV,I still get chills from watching this in 2022
Jonalee,What a historical moment
Rishikesh Boril,This really was the end of OG Avengers.
Nelson Valentin,"Marvel Fans coming back to watch this trailer be like:

""Some people move on.... but not us... not us"""
Bk zesty,"This one is legendary, i think it would still fit in perfectly in 2050."
Buren.D Farucon,still a masterpiece
Folgore YT,"its been 4 years but it still gives me goosebumps, and i believe it will till the day i die"
abscenezx,I would give my life to see the Avengers Saga and the Iron Man trilogy for the first time.
The Automator,4 years later and this still gets me hyped
eatsumrice,"“Dread it, run from it, destiny still arrives” the most truthful quote I’ve ever read"
CeLLeR,Still one of the best trailer out there
P.H.I.L Congure,This is the only trailer which can still get new comments every day after 2 years
,Really one of the greatest movies ever created 😭
Azhar007,It came in my recommendation after 4 years but still It's a masterpiece
BaBaBunny,Back then when Thanos was the biggest threat in the ‘universe’
GATOFUTSAL,"I still remember how the people at the theater was sooo pissed by the conclusion of the movie, but yet they still understand that that was a perfect ending"
Garret the frog,One of the greatest movies ever
Thor God of Thunder,This Trailer still gives me goosebumps even if i already watched the movie 3 times
Nothing !,legends comeback after 4 years...
ActuallyTomYT,Been 4 years and still hits hard
Abinesh Muralidharan,This one is epic. Still can feel the spidy's goosebumps. Chills everywhere
First Last,Even after seeing it many times over this trailer still gives me Goosebumps!!!
Thea Queen,Man I can’t watch this without tearing up
Trea2030,"Even in 2020, this still is the BEST trailer that I've ever seen!!!"
Jason Eyre,"I have never ever been more hyped for a film after a trailer than this, and it did not dissapoint"
किशोर अनल,"I remember when this trailer got out, goosebumps watching then and goosebumps watching now! Those were the happy times"
SUPREME GAMING,4 years ago but still on fire
ANUSHKA DUBEY CLASS VII,i wanna go back in time and feel those feelings again.
Kita Hipa,"This moment has now become “back in the good old days” when there was no covid, no restrictions, no masks, etc."
Asger Kalhauge,"No trailer gives me the chills this did, and still does."
Tinofara Tinashe Mukakaso,This is the best trailer of all time. I still get goosebumps from this trailer
Dominic Viera,"Infinity war: mr stark I don’t feel so good

Endgame: we did it mr stark we won"
Yatharth,Legendary movie getting goosebumps to this date 💓
Ravi Rathore,Sad marvel intro gives me goosebumps every time ❤
Knight AX,This scene gives me goosebumps man 00:25
Rajini Mania,Still Addicted This Trailer 🔥🥵😍
Shahzaib ali Hashmi,That fight between thaynos and dr strange in infinity war🥵🥵🥵
Ryatt,"""God, it seems like a thousand years ago. 
I fought my way out of my room, watched Iron Man...
Realized I loved the MCU."""
Fisken12,Still gives me the chills to this day
Captain_Commenter,Remember the hype towards this movie when this trailer dropped 4 years ago? Good times…
MONSTER,Still it gives Goosebumps 💥
Teddy,Kgf is going to break this 🔥
Bairgonda Srisailam,"🙁🙁it's been 3 yrs without Avengers, we want us back"
Subha datla,"You cannot live with the ending of the movie........where did that bring you


Back to the trailers."
JAY ALBERT,Goosebumps still
PA UL,Still gives me goosebumps
JuLzIsSwAg,Oh my goodness man this movie was just something else.
vishakha shirke,Can't imagine... It's been 4 years for thid masterpiece
Nkosana Makhubela,Legendary movie
Arian Karimi,Who’s still watching in 2021 cuz the trailer is way too epic?🔥
TheRealIsaacSmith,"I’ll never forget sitting in my period 2 pre-algebra class on November 29th, 2017 and immediately seeing this on YouTube. I stopped everything I was doing and watched it straight away. At that moment, all worries left me and nothing mattered more to me than to watch the Avengers: Infinity War trailer"
michael edwards,Came here after watching endgame amazing movie
Gabriel Winter,This is the best Avengers movie!
Eldos Kenesov,Best trailer of all time.I mean numbers don't lie.I remember everyone was waiting for the premiere of this movie in 2018
AF STYLES,trailer give me goosebumps
Aditya Kumar,There was time when we don't need to wear mask and we can watch movies in theatres.
Behir Lovers,"All heroes in one movie
Truly masterpiece"
Lakshya Saxena,This trailer still gives me the CHILLS.
Joseph Crews,"I haven't even seen any Marvel movies, I still get chills watching this"
surfyn,still feel what i felt when i first watched the trailer
Ndamulelo Nemakhavhani,"Legendary quotes all round, man Thanos is truly one in a million"
Marvel Studios Variant,It'll never get old ❤️
Rod DD,I’m glad I grew up watching all MCU movies that led to the last two Avengers movies 🥺🥺
MD. Sharukh,"100 Million ✌️💃✌️
Another Milestone Achieved By #InfinityWar  💕😍🤘"
Dougie YT,The hype we had for this movie can never be replicated. I’m glad I was alive and well to witness this diamond  of a movie 🍿💎.
Byron Guaman,Still get chills after 4 years
Kronixs14,"What a experience I’m glad I was here from the start kids these days wounded underneath I still
Get goosebumps 🥶"
ShaDoW,"I am here after 4 years, and this time also still feeling chill 😎😙"
palash suwalka,"when thor says  ""who the hell are you guys?""
still excites me in 2022..."
nerdnunu,Yes you’ve comeback to the greatest trailer ever
nixskatant,"I hate myself that I've never seen these movies, but that's probably why I've switched over to Star Wars since I also haven't seen these movies (only a little bit). I want to handle the power of being a Star Wars and a Marvel (superhero) enjoyer at once."
The Equalizer,"You watched the trailer of endgame and then the movie itself.
Where did that bring you?
Back to me."
olivia,the fact that i have watched this hundreds of times and that there is over 200 million views says so much abt the trailer and movie
Darren Arcenal,Always gives goosebumps
Brandon Moore,I remember this one 5 years ago Avengers Infinity War and I was so excited
Jack Mesco,What a time to be alive! 😄
Sandbox074,"Let's go, the trailer is out now, been waiting for this since 2018"
Lonkacz,"This trailer even year after, still gives me chills :>"
Telford Tahau,2022 and this Trailer is still epic
Manmeet Singh Naruka,You know it's a Masterpiece when you just want to watch it's trailer again after almost 4 years of its release.
Music&Fun,Now its a time of KGF chapter 2 to be in number one position.😊😊😊
Professor Brain,The thanos quotes are probably my favorite thing in this trailer!
Devismita D.,It's 4 years now and I am still stuck ❤️🙂
Taz,"Still get chills watching this trailer, probably the best trailer ever made."
Athish Athish,Switching between trialers of Endgame and Infinity war...but both never disappointed to get me hype everytime I watch !⚡
SussyBaka,"soo, it's been 4 years since this came out??
still feels like yesterday"
A N,i was living with my parents when this came out. and i still am
Prasidh Hegde,"Yes our India's KGF chapter 2 really broke the record set by this trailer....🤧❣️
So proud 🔥💯"
Ndamulelo Nemakhavhani,Will the MCU ever reach this level again? 😭
MRah,I can't believe that this trailer is now 3 years old. The amount of excitement this brought to our generation is incredible.
The Shape Lurks,"To This Day, I Still Get Goosebumps"
Kabuto,"This is honestly one of the best trailers of all time.

 I've watched Infinity War multiple times now and I still get hyped watching this in 2019."
Morgan Taanji,I legit watch this trailer daily. Goosebumps every single time
srikar allena,"If you still watch this and the bgm gives you chills. Trust me, you have witnessed the greatest cinematic experience in the history. Generations may pass, this movie will be noted in time."
op,Kgf 2 broke the record of this 😏
Zaafir Ashar,I still get goosebumps watching this trailer
mcu fan,"""Bring me Thanos""

Proof that mcu is the best.😎😎😎⚡⚡"
ISetYourFaceOnFire,This movie is our generation's empire strikes back.
Ahmed Faiyaz azad,man i still remember the hype
Anup Shastri,After 4 years....the algorithm threw this at me. Still goosebumps are as real as the first day I saw it.
F1 Clips,We got to witness the Avengers era. Thank you God.
Jason Codger,"Even after watching the movie countless of times, the trailer still gives me the same level of hype and suspense"
F1 Clips,“Engage all forces and” get the editor a raise.
clydx,"My father was a whole marvel fan. We watched the first iron man movie and never missed a single one. But on 2018 Valentine's Day, he passed away in an accident. I wished we could see infinity war and endgame together. 

I miss u dad. Thank you marvel entertainment for everything."
Ashton Jones,A trailer that gives you more goosebumps the more you watch it...truly a masterpiece
NONO TOTA,Just amazing
Just for Studies,This film will be always the best superhero film ever made even after 100 years.
Yousif Black,I can't believe it's been 4 years!!
MrNiall8000,This is for sure my favourite marvel movie
Sergio M,"Thanos: Fails

Covid-19: Fine. I will do it myself"
Arin Swaminathan,Still now I remember the day first time watched this marvelous video........
Johnny Seizure,"The fact that this movie is almost two years old now... Jesus man, I remember the hype."
Biman Mushahary,Becoming the most viewed trailer 💓
