author,comment
Danny O'Brien,"Thanks Lex, great interview. Cheers to Elon for coming on too!"
Reinaldo Viccini Gutierrez,A window into the mind of Elon Musk. Amazing.
sirfer6969,1:59:00 the shout out to Tim Dodd at Everyday Astronaut was probably the coolest part of the podcast in terms of benefiting others. Lex and Elon for president and VP of the world
native flower pot,You guys make me love physics more and more. ️
xDespo,"I started to hear Elon with JRE podcast and I was amazed, and alhtough I really love JRE podcast, this one has a different atmoshpere, it goes deeper in technique and concepts, I love it, itwer is awesome too, I subbed"
,30 seconds in and I know this is gonna be a great episode. Thanks Lex!!!
Tracy Sparks,"I usually listen to podcasts while I am making my jewelry, but I cannot do that with yours. I find myself wanting to watch, to really listen very carefully, (I am very visual). This conversation was so enthralling and I actually understood most of it. I really appreciate how you approach your guests and that you give them the time they need to form the answers. It is refreshing!"
Murali,"Thanks Lex. Awesome podcast. The questions are great and inspiring, motivating. The answers from elon musk are amazing. I love this podcast. thanks for doing this."
Dig,Thumbs up and subscribed! Incredible interview with one of the finest minds on earth! Questions that Mr Musk is willing to answer without giving anything away. Hearing his thought process is a privilege! Just off the top of his head!
Michael Fargo,"Thanks for the interview.  Great interaction between the two of you.  I've watched this video a few times.  It still makes me think. 
  Another way of saying what Elon iterates is: thinking simple is hard.  Getting down to the component parts of a process to understand it in its simplicity is not simple.  I wrote hardware interrupts in assembly language for a short time.  Thinking simple is hard.  Once you get there, it is simple and efficient.  "
Niraj Shah,This is by far my most favorite podcast 'ever'. I really loved Peter Wang too and also Chris Lattner.
xXxno6xXx,Love how humble and down to mars both of them are
AllSaints Academy,Such great interviews with Musk. I have such huge admiration for this man....he's beyond measure.
,This was Elons best interview well done Lexicon
saftmeister rüffel,"1:49:23 This is why this man gonna succeed, despite all the FUD around him, look at how the richest man in the world is so polite to some random employee, that's what's makes him authentic, he's just him not bound to any CEO like attitude like a di**"
Eric Graham,"Man, dope interview!  I know people love to hate Elon, but I'm a fan and it was really cool to see him interview / have a conversation with someone that he felt so comfortable with.  You could tell that Lex and Elon had a really great rapport.  I figure they are pretty like minded."
Adrian Bass5,"you do by far the best interviews I have ever seen. I use to watch joe Rogan but, you are blunt and straightforward. well done!!"
¡nterdimens¡onal ranger,"""We cant just not have the spaceships come back... spaceships are expensive, we need those back."" E. Musk~

I love it!"
MadhuRangika,This podcast dissect Elon Musk'a thought process in a very raw manner! Thank you.
,This upload feels like a late christmas present!
Ik Har,"Not once he said ""for that I have to ask my Engineers"" He is into everything.  What a Genius"
Brett Zimmerman,"Love me some Elon, what a genius.  So many innovations it's incredible!  Can't wait to see what 2022 brings."
Ryan Kartzke,"Absolutely fascinating, thanks Elon and Lex!"
FZM Studio,The final bit of this podcast is very powerful. I think some of the greatest advice and insight was given here. Phenomenal podcast. Truly fascinating on both sides the questions and answers. Loved it
RSL group,"Finally ! I watched the whole book I'd say because it's extreamly useful 
I watched half an hour a day coz cant spent that much time at once 
There 5 days was amazin Im pretty sure I'll come back again"
,Great podcast and show!
Tessa Pou,Love the knowledge Elon gives
Saerom Yoon,"Long live the Technoking! Thank you, Elon, and Lex:)"
Zach S,"i love your interviews lex, the first podcast  i saw you with was elon musk, and wow it blew me away to see someone my age discussing the things i worry about with a heavy hitter like elon musk. you are so inteligent and articulate as well as unbiased, YOU HAVE ME HOOKED KIND SIR, !!!  now im going back to your first podcast and i intend to watch them all. im a schizophrenic, and these world issues keep me up at night, it sucks, but when i hear things from these experts moderated by you it gives me hope in our future as a human race, thank you and keep up the good work... thanks (SERIOUSLY)  Zach, midwest, usa."
0,Man I love Elon Musk. He's great.
no time 4 evolving monkeys,"What a genius! Thanks to Elon and people like Eric Dubay with his movie ""LEVEL"" was pretty inspiring aswell.  Exciting times ahead forsure"
dunkinvideos,"Love how relaxed and goofy Elon is with Lex, he must feel comfortable with our Lexbot 3000"
CHRIS BROESKY,Definitely one of his best interviews. You can tell he enjoyed it. He's missing his Whiteclaw though.
Hristo Mitkov,"My vote for ""The podcast of the 2021"". Such a nice surprise for the holidays.  Great timing, great topics and questions.   Thank you, Lex! You are getting better and better, man! Oss!"
Caster Headquarters,"Great conversation between you both! How has this video not received more views already? Everyone should watch any interview with Elon. So much great information, advice, and overall a deeper understanding in a magnitude of topics that everyone should keep up with."
Varun Nikam,It was a great interview and loved it 
Merlien Houwen,"That was Inspiring! ️
Mr Musk has such a great way of explaining things, even a mere mortal such as myself understood most of it! "
Valeri Donkov,"Elon is really a scary genius, it's insane to watch"
Gangadhar Reddy,"Absolutely loved it, great questions Lex."
Zahub Shahid,This is the most laid back and relaxed version of Elon I've seen on any podcast.
James Gonzales,"The conversation that the two of you have is nothing short of epic in the way that you both compliment each other.  Without a doubt, I would vote you both in as president and vice president, because between the two of you you know what should be changed to make things better and how.  Peace and health to you both and great show, Jim"
Pascal,"Hey Elon, I‘m german and i thank you a lot for giving me the chance to work in the new tesla gigafactory here in germany. I will do my best to study on the side and help change something big ️ Someday i‘ll shake hands with you and we do even more for this world and to safe her "
Doug Green,I’ve watched this 10 times..great questions equaled great answers. Big fan of you both
A C,"This was one of the best podcasts Ive heard in forever. To see Elon enjoying himself, thinking deeply, answering hard questions, and seeing his humanity was amazing."
Lentax,"Thank you for what you do, Elon! The sacrifices we will never know about, the pains you took, the possibilities, and for the hope. I'm excited about us. I'm excited about us, humans, so more because of you! Us! Humans! Thank you, sir. Thank you."
Wael Bouabda,Elon musk is appearing on the pod almost as often as Michael Malice does! Getting my popcorn ready this one is a banger!
Jteach91,First time I've ever seen let Friedman starstruck. Awesome to see how much he appreciates the presence of sir Elon Musk. 
sonia hua,I love this the best interview I have ever watched.
acedudeism,"Elon is here to help us along to remembering  who we are . If it came down to it he’d easily make weapons to help protect earth.

When I was sentenced to life in earth , this planet is where I’ll be forever"
Jtroulston,I love the fact that elon always pauses and gathers his thoughts before he answers
XFORMA,"Awesome Vibes, Lex. Great job. It's you who should try Standup!"
Andrew Fender,"Lex: [esoteric question about literal rocket science]
Elon: [in-depth answer, exploring multiple tangents]
Lex: what is love?
Elon: now you're asking really perplexing questions"
Sean E Cash,"Wow I’ve never seen two AI robots have a long, one of one conversations like this before. Crazy!"
Tdl Australia,He seems to open up to you a lot more. Probably because you give him time to think a question through before answering and you don't ask typical stupid questions. Great job man.
jeff h,Musk is a huge hero of mine now. He has done what no has done. Its amazing. When this man speaks people need to listen.
Joey Kostyk,"Ya better do some stand-up, Elon! Keep up the quality work."
RonBurg88,Hundreds of years in the future robots will hold these conversations in high regard to their existence.
Simon Zimmermann,"When Elon talks about possible outcomes and he laughs, you know there's gonna be explosions :)"
Duke Cunning,I just started watching this video. Elon is telling Lex about the design of his rocket engine. I keep thinking how he would have performed doing what Bob Lazar was hired to do at S-4: analyzing and reverse engineering a gravity engine running on element 115. I would love to know if Elon Musk has watched the Joe Rogan episode with Bob Lazar.
Emergence,Lex is the right person to be interviewing Elon.
josh price,"""spaceshipping is really, really hard and its complicated and there are parts"" wow! E-man is so brilliant! Best interview EVER!!! I can die now."
Tyler Stamps,Thank you Lex(icon) for sharing extraordinarily epic content
monoceroxbeast,"Best Muskerview I've seen yet, by you or anyone. Kudos Lex."
darcide caesaria,Lex is cool as ice man... Much love to Mr. Musk...a true inspiration.
Lou Skunt,Elon is our greatest asset. Period.
aqynbc,"I remember when they had their first interview. Elon was quite cold, but professional. 3rd time around, both enjoying each other's company. Great to see."
MILO,Elon wakes up every day and literally works toward making us an interplanetary species.. #BigGoals
Rory Chivers,"2:29:01 I'm glad Elon is a guide reader, that means there's at least a fighting chance we as a species wont repeat the Golgafrincham mistake of sending all our telephone sanitisers into space"
BigBoy Baggins,"Podcasts like this are a modern treasure. Listening to Inspiring people or just goofy people, funny people, successful people of all sorts and looking deeper into their mind beyond a scripted tv/online segment is so valuable."
Khalifa Binhendi,"When you ask questions that actually make Elon pause to think, you know you asked the right question."
Joel Allen,Lmao I love it. Explaining memes to Elon Musk for 15 minutes.
Jim Payne,"Elon is such an extraordinarily busy person, so it means a lot for him to give 2.5 hours of his time to someone. It shows the level of respect that he has toward Lex -- respect that has been well earned."
Brad Bryant,"I love watching him break our constricting Rules of Communication by actually STOPPING and THINKING before answering a deep and thoughtful question. He refuses to follow the ""sound … confidently spoken within 6.5 seconds - necessary to demonstrate the robotic nature of ""call & response"" - only to be expected from our Question and Answer/ Memorization-based Educational System."
Fabian Mango,"Holy shit, imagine getting 2 and half hours of one of the busiest man on the planet for your podcast, man. Respect, you totally deserve it!"
Warren S.,"Wow, Elon Musk on you podcast! You've surely come a long way Lex. Congrats & great job serving up deeply interesting and thought-provoking lines of questioning to such a brilliant mind. This is true gem of a podcast!"
Major Payne,Amazing interview. Thank you.
Dario D,"Lex:  ""this  and that is incredibly difficult to be achieved""
Elon (calmly):  ""yeah  , we are doing it ""   :D"
Mike Gerke,"One of the keys to self driving is to operate the vehicle in such a way as to avoid the unexpected, reactionary situation, which leads to crashes and human mortality.  And that is what is being solved, here in our lifetime."
vids eo,Loved the questions you asked awesome interview thanks Lex️
Tyler D,The difference in how he handles these interviews is a completely different level than his first one on JRE. Glad to see the growth.
Deep Blue,I have so much respect for this man about the prayer comment.. Almost all of us are guilty of calling upon a God we didn't believe exists but hope that does in times of extreme stress. Bravo sir..
pxyfox2000,"It’s a very interesting, however, small of an opportunity to observe Elon taking his time, regardless of how silence is sort of frowned upon in these types of interviews, to seriously contemplate some of the questions that Lex asks him. 
These are obviously specific things he has never considered before otherwise I assume he wouldn’t need to contemplate it. So bravo to Lex for coming up with such unique questions so as to make Elon actually pause. "
Maggie Tattersfield,Shame there aren’t more men like Elon Musk around. I love him️ Huge respect for his awesome mind and kindness… 
Rasputin,The more I listen to him the more I think he's a genuine guy.
Frisbee,Thanks Mr. Musk for adding horror to my life. Blessings ️
Eric C,I loved how Lex let the interview breathe. The moments of silence (where I had to check to see if the video was buffering or stopped) actually added gravitas to the question and subsequent thoughtful response. It was like Elon was playing out all of the probabilities of his responses before answering. Amazing to watch (and listen!) Way better than the WSJ interview… Keep up the great work!
Taysky,This is the best conversation between two aliens I’ve ever hear in my life. 
Shirley Mason,"Another question: some physicists have said that in time, with advances in engineering and science, the Earth can be moved farther out from the Sun in order that the Earth can survive comfortably when the Sun expands, but I never hear Elon mention this possibility."
CHARLES,"Excellent interview Lex.
This Elon is an admirable brain 
The problem I have is the more I listen to him the more I feel like an idiot  lol"
Javi Tormo Castaño,So interesting. Thank you for this. Congratulations 
Bob Johnson,"The ""future of work as optional"" deal has been something I've been seeing as clear for the last 5 years or so. You'd end up with a highly digital society, I call it a leisure society, where the arts and employing creative ventures is most of the currency as well as social creativity. This is coming from a generally conservative dude, fiscal conservative. The currency base will have to be some sort of UBI on a digital basis. Goods and services would be running around the clock creating this sort of super excess, extending to everyone, same with energy production, and certain skills and abilities and trades optional. You may even run into a situation eventually with robotic rights when these machines begin to make the second or third generation due to their complexity. We will make the first generation and they will make the second generation."
Chance Mack,Lex has been going insane with the guest he’s brought on recently.
Lezley Thurman,"Lex Fridman I very much appreciate that you allow time for an in-depth response from Elon, he is amazingly open and patient.  I was a bit dismayed at the lame cartoons as it came across as though you were mocking him."
M Mariner,"I love Elon's quotes ""Put in a hard day's work and try to be useful to humankind ... create more than you consume ..."" and ""learn a little about a lot of things ... read about a broad range of topics"" as advice for our next generation!!!"
Da NaRuD 3,This man’s true genius is realizing overtime how his intellect could help the world and taking action
Zoltan Palcut,"Great conversation Lex, as always. Do you plan to interview Demis Hassabis at some point?"
Haiden Geary,"Firstly, I adore Elon. Amazing man. What I find very annoying, is when he, or others, talk about ""If you want something, go for it."" Yes, Elon has worked extremely hard, but he did not start out on his own. Very few people start out poor, and get to his level, if any. It helps to come from a well-off family. The ideas I have, it's tormenting, but I struggle with simply surviving, never mind the capital to do such things."
Degen,17:07 I like it when you ask him even a relatively simple question he really thinks about it deeply and doesn't have a predetermined answer in advance.
Jade Freeman,"best interview ever :) i can see why folks choose to be on your show, you ask great questions"
Aaron L,"Elon speaking to an AI he created for 2.5 hours, this is coming full circle"
Siris Mc,"One question I’d like to ask is Mars has two moons.  One is in a death spiral and destined to  hit Mars in the future. 
If we try to colonize Mars. How will we stop the moon from destroying everything we do there.  Colony wise, terraforming etc."
The Spangled Yank,"""So you're saying there's a chance"". Best quote of the entire interview."
Shirley Mason,"As an old COBOL (and CICS) programmer, I think it would be fun to work on those old systems. But then I always loved that work. Debugging is a FUN challenge."
Major Payne,16:16 - 17:50 this is the key to achieve anything you set out to do. Words to live by. Powerful wisdom.
Andrew baker,"As Lex Fridman said at the start of this video, Thank you Elon Musk "
Peter,"Dude I swear, whenever I see Lex do an interview with Elon they both get so close to passing the turing test."
Clint Westwood,I learn so much on how to be a more productive person by listening to these two
Mark Barber,"@Elon Musk and @Lex Friedman.. Run for office!! Need more brave,intelligent man like yourselves running the show! US Senate.... Two humans i dig.. Coo folks! 🇺🇸"
Blindsquirrelsnut99,"I love these two!!
Is it me, or does Elon seem more like an Artificial intellectual robotoid???
I'm probably overthinking,"
JohnFord706,"Omg... Elon, you give good interviews."
Concerned American,When I lived at the first Home of NASA I could just feel how illusionary it was
xVoR_Tex,I like how Elon Musk is way more comfortable in this one than the previous ones
Felipe Grille,How amazing it would be to look through a telescope pointing back at Earth from a lunar base.
Z3N Bluster,I like that Elon has no qualms about being silent and deeply thinking through Lex's questions. This also shows Lex's skill in finding questions that even Elon has not previously considered. Keep up the good work Lex! You should drink with Elon next time!
MUNX PROJECTS 2022,.. it took me two days to listen this but it was all worth it: Thank you for awesome content. #greatstuff #maketheworldbetterplace #doitnow
Jock Doubleday,"Hopefully, Elon, who is a good man, will soon be read in on the Secret Space Program."
Neo Klymm, The burn at the end!  He asks Elon a question about Love and Elon says ask better questions! 
3kko Used Flash,Elon the greatest man of our time. My idol and hero ...
TheMichael310,How do you land a 2 hour interview with the world's richest and innovative man? Nice job!
Brandon May,I recognize and appreciate how comfortable Elon is on here. Doing Gods work Lex
Marcus Sassan Motamedi,"I like what I see, this type of conscious aware conversation. Its hard to keep up at points with Elon. Has Lex done a interview with Donald Hoffman? I couldn't find any."
Will Sani,I love how he doesn't even think about the idea for a 'source of strength'.  The smashingly successful people often  are their own source. They are so inwardly driven they never think to look for an extrinsic source.
Mango Fett,The direct democracy thing is really interesting. My friend once said to me that one day everyone will be able to vote on policy as individuals on their phones. I think it would be a much better system than representative democracy personally.
coznic,Best advice from this was about reading a broad range to find your passion in life (to be useful or otherwise) or purpose or whatever. Kinda like learning more about yourself by reading an Encyclopedia Volume and/or a broad spectrum of topics.
Geoff Carr,"Lex interviewed Elon in April 2019.  Elon said the presence of a driver next year (2020) will decrease safety in Tesla with autopilot.  Maybe next year, or the year after, or the year after, or the year after, or the year after."
Ruan M. Marinho,"This is information directly from psychedelics. Especially the end where they talk about meaning. I wish people would ask Elon about that topic and his thoughts. He wouldn’t have to admit to the use of it, but I would love to see his thoughts on it."
Stuey Collins,"1:39:00 

Lex: ""Do you see a world when there are hundreds of millions of Tesla Bots performing different tasks throughout the world?

Elon: ""I haven't really thought about it that far into the future..."""
Kiyoshi Suzaki,"Always intriguing to hear Musk’s thinking process with the first principle of physics - or the fundamental laws of nature.  It is as if to streamline the flow from a confused state so that blockages are removed - as in great art - or even spiritually speaking.  Since I see us made from such an attempt (or the laws of the universe) for us to be alive here and now - even breathing and more.  So, here is his quote; “When something’s important enough, you do it even if the odds are not in your favor.”  Similarly I believe Henry Ford said, “if it is desirable and right, it is not impossible.”"
Sean Tivald,"I'm still curious how these autonomous cars will operate in adverse weather; especially with semi's. I didn't hear that asked, has all testing has been done in ideal conditions? Ideal conditions are only in a few places on earth."
Bmalugin,This man does what he does cuz he's got the weight of future generations on his shoulder. He loves to be able to create a world for tomorrow
Manish Pingale,"I have seen  many interviews of Elon but the questions asked just wasn't really great.Even the one with Joe Rogan wasn't the best , I felt like that podcast was just 2 friends talking nothing else,But this one , this one was different man! This one is the best interview of Elon that's out there. 
I loved it "
Ali Mamman,"Nothing is more sincere than a person taking time to ponder a question. It increases the probability that the answer will be useful…and mostly unique. Thanks Lex, thanks again Elon."
Clsrk Simpton,We really should be solely focusing on space travel for our entire lives
Brian McLeod,"You can just tell how comfortable Elon is talking with Lex. Absolutely amazing podcast,very informative and thought provoking."
Marian Marcali,"Folding or warping might be achievable. So to bring two separate points in space together, meaning conceptually  they should be indistinguishable or fully entangled and quantum isolated as best as possible. And reintroduce the information at the receiver very carefully. But also, there may be no need to worry about causality, at all, space time will adjust accordingly."
Don Swope,"I just spent 2 hours and 45 minutes watching two men speak in what can only can be described as a foreign language. I understood zero of what they said, but stayed for the entire show."
The Empty Atom,"So somehow they got to the moon in 69 but lost the technology to do it again, and we are still trying to overcome the major tech problems to try to get someone to the moon until this day - amazing."
Ruell Black,"It was very interesting that Elon said ,”you just have to make sure you’re physics …. You’re violating conservation of energy and momentum…. It’s not going to work “. Very interesting how he said that."
Luis Hernandez,"This was my first full Lex Fridman podcast, I hope one day it will become as popular as Joe's podcast which is where I met a lot of other interesting people to follow and listen to"
CantWait,"Lex's interviews with Elon are my absolute favourite. He can be both serious and funny, but you can tell he's comfortable around Lex. He's cool with taking a moment to think before answering."
Houlipaints,Sometimes Elon takes several seconds to respond to a question and I freak out because I'm convinced it's my wifi shitting the bed again
Arnaud 335I,This was amazing. Thank you.
Muse California,"I appreciated this conversation because it seems Lex sees beyond the surface sheen.  Elon Musk is a real person, a human being who has aspirations and light and dark aspects to him personally and professionally.  I wish more interviewers would stop fanning out over his money and genius for a second, and begin to speak to Elon on a more balanced, clear level so we can start a real conversation."
John Collins,"Awe inspiring is the work on software.
Would like to here more of the robustness when in situ. That is the acceptance test."
exileinrosedale,"He never stops being my favorite human on the planet. If he needed a Music Producer/Recording Engineer for Tesla or SpaceX, I'd be there in a heartbeat."
xflyingtiger,"Loved this interview. I was struck by Elon's advice for life, ""Try and be useful."" He went on to say that being useful was incredibly difficult. I believe being useful can be simply a state of mind. My daughter manages an AM/PM selling junk food and gasoline. But she is so important for so many people just going through their day. To some many people, filling their tank on the way to work and grabbing a quick cup of coffee and some donuts is such a vital part of their day. My daughter keeps a very clean well stocked store and she is polite and cheerful to everyone she meets. She actually attracts repeat customers. How do I know? Customers have told her so. She is, in short, useful. We all have purpose if we look for it"
cFluff,The whole terraforming Mars is a very optimistic idea to say the least and I’ve read legitimate concerns it’s not even possible if the planets core is inactive.
Bloom In resONAnce,"Favorite interviewer 
Elon shouldn’t waste too much time giving interviews to people who stay too shallow

On the other hand"
mercster,"I think it takes someone with a certain level of moderate intelligence to see this guy's accomplishments and be in awe.  I know some people who don't like Elon Musk, and I can only rationalize this in my brain as someone who doesn't understand.  It's like someone who doesn't like their McDonalds hamburger and blames Ronald McDonald.  People aren't educated enough to understand the giant leaps in technology and science that this guy has spearheaded.  And by educated, I mean having gained knowledge and life experience, not necessarily inside a ""school system""... I have a high school equivalency diploma, but I know enough to recognize greatness when I see it.  People think things like massive rocket-ships fall out of the sky and you just need some figurehead to administer everything.  Yeesh."
Dennis jutzi,"This material is way over my head. You are giving me great information. The reason I still watch these is that I still believe in on osmosis can .
You to are to be commended. "
Libertas財務自由理財教室,great interview with in depth questions
,"I'm still waiting for Elon to conquer the universe so he can focus on less important things, like his own line of colognes called Elon's Musk."
Catherine Epright,"I was very interested in the answers about money on Mars as I was wondering about that after watching a video about his Mars plans… like~ will there be currency on Mars? Or is it all about resource allocation and contribution? Who makes laws? (Or regulations) Who decides on what punishments are? Or is this Mars colony run like a business or corporation? Than I began to wonder where the most energy is provided to cells in an organic structure, and perhaps that is the correct way to allocate value to “jobs” on Mars since it’s a “closed system” It’s all just so fascinating!!!! Thank you Lex!!!"
Michael,"""Quitting is not in my nature, fuck that we're getting it done"" wow, words to live by"
Death Valley Dazed,I loved the long silent pauses between the questions and Elon’s reply. That brain of his is X   10 that of mine. Who else can lead us to Mars? He’s perfect for the job!
Tommy T,"38:04 what I often think about in relation to this is fighter pilots in the second world war.
They would over speed the aircraft and lose control.
The speed of sound was seen as a limit but we developed ways of getting round these problems.
Just speaking hypothetical crap, what if we discover a way to bypass the Higgs field, Maybe we wouldn't need a fraction of the energy that we think is needed to travel at the speed of light?."
Rina Dror,The future is already here. On the way to outer space: when the American dream meets the audacity of Alon Musk who makes his mark on humanity.
Nicolae Ivanescu,"Could one be able to drive manually using the vector space and fully opaque windows on the car? if so then the vector space is fine even now and the control needs to deal with uncertainty better, no?"
Joschua,Lex is so kean with the questions he makes elon musk go in laidback slowmo. great work Lex
White Bunny,With most other interviewers I feel that I've heard it all and I'm just listening to Elon say things he's said a 1000 times. Not with Lex. His questions really allowed Elon to go deeper and share his thoughts in ways that we would never hear from 99% of other interviews. Thank-you Lex. What a beautiful way to spend the first few hours after midnight on new years day (for me).
Wills Boone,Sometimes I just want to stop and give Elon or even lex a big hug
Go 01100110 01110101 01100011 01101011 01101111 01100110 01100110,I think the problem many have when it comes to the bigger picture about electric vehicles is... We need to separate the electric motor from the battery in peoples minds.  Once electric motors are powerful enough that they can replace traditional raw power... You can then address distance in a hybrid way.  Electric motor will always be more efficient.  This will allow for a more robust manufacturing model where gas and diesel are just generators that address the distance issue and used where battery cannot provide enough.  Streamline how people think and you will sell the electric model.
Plastic,I’ll have a Tesla bot driving my Tesla so we can get on the hov lane
Evern A. Cuvalay,"I like to listen to Elon Musk, very smart person."
Kevin O'Connor,Please let Elon do a stand up act. Even if it was not going good. I would like to see that.
Brod,"So awesome that Elon is chilled out and having fun with Lex, such a different energy to other interviews. You rock, Lex. Can’t wait to see what you do in 2022."
Numbaone Sp.,"What if there was a signal projecting an accurate vector space on any given road? Premapped vector spaces? Basically, start developing smart roads. At the very least having technology within the road could provide estimations of best course of action on the given terrain. There could also be a high-speed information exchange between proximate cars. Also, with regards to the kid/truck conundrum, what if the road had pressure sensors, which would alert vehicles around that there is human activity on the road?"
RINDA in The Raw ASMRnMORE,"Elon can call on me, if needing a break for much needed play time 
I promise to switch things up as needed  "
David Alvarez,"From two lines to a plane to a takeover of the industry of traveling brings down
The costs of energy consumption complements the space industry"
MaT,"I would love to see Elon Musk interviewed by Russell Brand. That would be it. This guy is interviewed mostly by people who cant/dont want to challenge his ""ideas"". Not that I dont like Lex F, but he is kind of going along with whatever EM says. Interesting interview, but not really enlightening."
MoneyIsSilver,Good to see Elon now understands crypto to the level I did in 2012.
Back 2 Basics,"I'm so happy to see Elon in such a good mood! He seems to be happy in life at the minute, good for him!"
Kristin Woodward,Wow you guys are so stoned  nice … love you both and love you more 
19quiz76,"I think I’ve seen the lion’s share of Elon interviews, and for the last couple of years it’s been sort of like watching an old movie again and again. 80% of the questions he’s been asked have been uninformed or at best old news. 
This interview, on the other hand, is monumental in the storytelling of Elon; the questions are qualified, relevant, humble, challenging, respectful and full of love. You, dear Lex, are a giant! Thank you for this gem of a conversation "
Rivianado,Blows my mind that Elon isn’t familiar with smart contracts in the context of Lex’s question. There are many hundreds of use cases for his various companies and products.
Kloppstock,I love those long stretches of silence after a question. The grinding gears are palpable.
GDawg2K2,"Having lived through the Apollo missions, it was the complete lack of what followed that was the final nail in the coffin of America the great!"
Numbaone Sp.,"When I think of robots, I think really efficient ones would be ones with several arms like the guy in spirited away who sends up bath tokens."
Tony Easley,I like Elon's Thoughts on Government.  Especially the cleansing of regulations. Elon for president 2028
Don Fields,"Having someone like Lex interview Elon is amazing, 2 people that can actually communicate at a ""similar"" level. Try getting mass media to even listen to a sentence of this and their heads will explode. Excellent interview."
Atilax,"@ 17:07    Elon Musk shows his humanity, honesty and dedication...  During an introspective, searching silence you could never find in other great minds of the present.
Elon, your lack of artificial confidence, gives me hope.
I can only hope that your ""human"" imperfections never leave you."
Zach Hooker,"FSD  autopilot talk
Lex: ' 11 is a cool number' 
Elon: 'yeah its going to be  a single stack'
Lex: 'a single stack!'"
K Khera,Great show   
SpaceAce114,17:06 Thought we had blue screen moment but the robot was just sifting through his file routines to execute the code
marianne faulkner,It would be most interesting to engage Musk and Putin as your guests for joint interview.   Maybe possible kept to science / universe interface.   Great response from Musk.   Respect
fedor isthegoat,I’m 30 seconds in and I can already tell this is gonna be fun
N W,"Привет Лёха! Привет из Москвы, Алексей! Спасибо за твою работу! Спасибо, это подарок в мой день рождения в мои 50 лет. Всё созвучно, всё круто. Илон крут. Ты - ещё круче ;)  Спасибо!"
Apollo Jetic,One of a Kind. We need more people like Elon Musk on our planet.
Magoo X,Imagine a self driven d1 drift machine 
xKen,"This is such a great example of an INFJ talking to an INTJ/ENTJ. Lex keeps on trying to relate everything to humans, emotions, morals, belief...etc. Elon just wanna get shit done and focus on practical solutions lol ""I don't care about optimism or pessimism. Fuck that, we're gonna get it done."" Damn."
Paulus Iipinge,"When Elon says he has the advanced technologies, he is not lying or bragging  HE IS THE MOST HONEST PERSON IN BUSINESS..."
Jeff Banks,"""We had to invent a bunch of alloys that don't exist"". Classic Elon. I love this guy"
